reason,usage_count
all_negative_path,363
group_violation_location_2,111
group_violation_location_3,24
contradiction_reg_atr_change_rate_ts_top20,18
contradiction_reg_atr_change_rate_ts_bot20,3
group_violation_location_4,3
contradiction_reg_atr_change_rate_ts_band20_80,1
