stage,model_id,model_type,side,strategy_id,horizon,candidate_name,is_winner,selected_feature_position,selected_feature_count,feature,gain,gain_share,gain_rank,split,split_share,split_rank,importance,importance_share,used_by_model
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,1,76,abs_ret_per_oi_z_24h,7486.1400690078735,0.003965055247523653,52,164.0,0.004769244191118737,67,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,2,76,adx_14,38407.40957117081,0.02034259303995943,6,890.0,0.025881873963998023,5,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,3,76,adx_di_plus_7,56428.58134269714,0.02988755760655021,5,1220.0,0.035478523860761335,4,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,4,76,atr_compression_ratio,11485.822468340397,0.006083498335645456,40,424.0,0.01233024107947771,30,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,5,76,atr_pct_change,9283.045085430145,0.004916791068519445,48,346.0,0.010061942012970018,40,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,6,76,atr_percentile,26598.292282283306,0.01408786068880117,11,845.0,0.024573239887166663,8,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,7,76,body_pct,22197.53005671501,0.011756984537040098,19,655.0,0.019047896007212028,16,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,8,76,body_ratio,6961.250221729279,0.0036870458562834347,61,254.0,0.007386512344781458,51,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,9,76,bollinger_band_width,10068.020332336426,0.005332555426817701,45,375.0,0.010905283973594672,35,0.0,0.0,True
train_base,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,LGBMStabilityModel,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,10,lgbm_pipeline,True,10,76,breakout_24h,7256.033488154411,0.0038431786465661097,57,252.0,0.007328350830255619,53,0.0,0.0,True
