feature_name,status,reason,support,group,regime_family
reg_volatility_autocorr_48_ts_top20,retained,retained,720,regime,volatility
reg_volatility_autocorr_48_ts_bot20,retained,retained,179,regime,volatility
reg_volatility_autocorr_48_ts_top30,retained,retained,630,regime,volatility
reg_volatility_autocorr_48_ts_bot30,retained,retained,269,regime,volatility
reg_volatility_autocorr_48_ts_top40,retained,retained,540,regime,volatility
reg_volatility_autocorr_48_ts_bot40,retained,retained,359,regime,volatility
reg_volatility_autocorr_48_ts_top50,retained,retained,450,regime,volatility
reg_volatility_autocorr_48_ts_bot50,retained,retained,449,regime,volatility
reg_volatility_autocorr_48_ts_top60,retained,retained,360,regime,volatility
reg_volatility_autocorr_48_ts_bot60,retained,retained,539,regime,volatility
reg_volatility_autocorr_48_ts_top70,retained,retained,270,regime,volatility
reg_volatility_autocorr_48_ts_bot70,retained,retained,629,regime,volatility
reg_volatility_autocorr_48_ts_top80,retained,retained,201,regime,volatility
reg_volatility_autocorr_48_ts_bot80,retained,retained,698,regime,volatility
reg_volatility_autocorr_48_ts_band20_80,retained,retained,519,regime,volatility
reg_volatility_autocorr_48_ts_band25_75,retained,retained,450,regime,volatility
reg_volatility_autocorr_48_ts_band30_70,retained,retained,360,regime,volatility
reg_volatility_autocorr_48_ts_band40_60,retained,retained,180,regime,volatility
reg_volatility_of_volatility_48_ts_top20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top20,720,regime,volatility
reg_volatility_of_volatility_48_ts_bot20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot20,179,regime,volatility
reg_volatility_of_volatility_48_ts_top30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top30,630,regime,volatility
reg_volatility_of_volatility_48_ts_bot30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot30,269,regime,volatility
reg_volatility_of_volatility_48_ts_top40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top40,540,regime,volatility
reg_volatility_of_volatility_48_ts_bot40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot40,359,regime,volatility
reg_volatility_of_volatility_48_ts_top50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top50,450,regime,volatility
reg_volatility_of_volatility_48_ts_bot50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot50,449,regime,volatility
reg_volatility_of_volatility_48_ts_top60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top60,360,regime,volatility
reg_volatility_of_volatility_48_ts_bot60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot60,539,regime,volatility
reg_volatility_of_volatility_48_ts_top70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top70,270,regime,volatility
reg_volatility_of_volatility_48_ts_bot70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot70,629,regime,volatility
reg_volatility_of_volatility_48_ts_top80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top80,201,regime,volatility
reg_volatility_of_volatility_48_ts_bot80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot80,698,regime,volatility
reg_volatility_of_volatility_48_ts_band20_80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band20_80,519,regime,volatility
reg_volatility_of_volatility_48_ts_band25_75,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band25_75,450,regime,volatility
reg_volatility_of_volatility_48_ts_band30_70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band30_70,360,regime,volatility
reg_volatility_of_volatility_48_ts_band40_60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band40_60,180,regime,volatility
reg_volatility_ratio_short_long_ts_top20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top20,720,regime,volatility
reg_volatility_ratio_short_long_ts_bot20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot20,179,regime,volatility
reg_volatility_ratio_short_long_ts_top30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top30,630,regime,volatility
reg_volatility_ratio_short_long_ts_bot30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot30,269,regime,volatility
reg_volatility_ratio_short_long_ts_top40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top40,540,regime,volatility
reg_volatility_ratio_short_long_ts_bot40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot40,359,regime,volatility
reg_volatility_ratio_short_long_ts_top50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top50,450,regime,volatility
reg_volatility_ratio_short_long_ts_bot50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot50,449,regime,volatility
reg_volatility_ratio_short_long_ts_top60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top60,360,regime,volatility
reg_volatility_ratio_short_long_ts_bot60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot60,539,regime,volatility
reg_volatility_ratio_short_long_ts_top70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top70,270,regime,volatility
reg_volatility_ratio_short_long_ts_bot70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot70,629,regime,volatility
reg_volatility_ratio_short_long_ts_top80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top80,201,regime,volatility
reg_volatility_ratio_short_long_ts_bot80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot80,698,regime,volatility
reg_volatility_ratio_short_long_ts_band20_80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band20_80,519,regime,volatility
reg_volatility_ratio_short_long_ts_band25_75,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band25_75,450,regime,volatility
reg_volatility_ratio_short_long_ts_band30_70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band30_70,360,regime,volatility
reg_volatility_ratio_short_long_ts_band40_60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band40_60,180,regime,volatility
reg_volume_autocorr_48_ts_top20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top20,720,regime,liquidity
reg_volume_autocorr_48_ts_bot20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot20,179,regime,liquidity
reg_volume_autocorr_48_ts_top30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top30,630,regime,liquidity
reg_volume_autocorr_48_ts_bot30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot30,269,regime,liquidity
reg_volume_autocorr_48_ts_top40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top40,540,regime,liquidity
reg_volume_autocorr_48_ts_bot40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot40,359,regime,liquidity
reg_volume_autocorr_48_ts_top50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top50,450,regime,liquidity
reg_volume_autocorr_48_ts_bot50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot50,449,regime,liquidity
reg_volume_autocorr_48_ts_top60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top60,360,regime,liquidity
reg_volume_autocorr_48_ts_bot60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot60,539,regime,liquidity
reg_volume_autocorr_48_ts_top70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top70,270,regime,liquidity
reg_volume_autocorr_48_ts_bot70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot70,629,regime,liquidity
reg_volume_autocorr_48_ts_top80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top80,201,regime,liquidity
reg_volume_autocorr_48_ts_bot80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot80,698,regime,liquidity
reg_volume_autocorr_48_ts_band20_80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band20_80,519,regime,liquidity
reg_volume_autocorr_48_ts_band25_75,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band25_75,450,regime,liquidity
reg_volume_autocorr_48_ts_band30_70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band30_70,360,regime,liquidity
reg_volume_autocorr_48_ts_band40_60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band40_60,180,regime,liquidity
reg_volume_percentile_ts_top20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top20,720,regime,liquidity
reg_volume_percentile_ts_bot20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot20,179,regime,liquidity
reg_volume_percentile_ts_top30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top30,630,regime,liquidity
reg_volume_percentile_ts_bot30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot30,269,regime,liquidity
reg_volume_percentile_ts_top40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top40,540,regime,liquidity
reg_volume_percentile_ts_bot40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot40,359,regime,liquidity
reg_volume_percentile_ts_top50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top50,450,regime,liquidity
reg_volume_percentile_ts_bot50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot50,449,regime,liquidity
reg_volume_percentile_ts_top60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top60,360,regime,liquidity
reg_volume_percentile_ts_bot60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot60,539,regime,liquidity
reg_volume_percentile_ts_top70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top70,270,regime,liquidity
reg_volume_percentile_ts_bot70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot70,629,regime,liquidity
reg_volume_percentile_ts_top80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top80,201,regime,liquidity
reg_volume_percentile_ts_bot80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot80,698,regime,liquidity
reg_volume_percentile_ts_band20_80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band20_80,519,regime,liquidity
reg_volume_percentile_ts_band25_75,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band25_75,450,regime,liquidity
reg_volume_percentile_ts_band30_70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band30_70,360,regime,liquidity
reg_volume_percentile_ts_band40_60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band40_60,180,regime,liquidity
reg_volume_trend_48_ts_top20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top20,720,regime,liquidity
reg_volume_trend_48_ts_bot20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot20,179,regime,liquidity
reg_volume_trend_48_ts_top30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top30,630,regime,liquidity
reg_volume_trend_48_ts_bot30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot30,269,regime,liquidity
reg_volume_trend_48_ts_top40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top40,540,regime,liquidity
reg_volume_trend_48_ts_bot40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot40,359,regime,liquidity
reg_volume_trend_48_ts_top50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top50,450,regime,liquidity
reg_volume_trend_48_ts_bot50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot50,449,regime,liquidity
reg_volume_trend_48_ts_top60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top60,360,regime,liquidity
reg_volume_trend_48_ts_bot60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot60,539,regime,liquidity
reg_volume_trend_48_ts_top70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top70,270,regime,liquidity
reg_volume_trend_48_ts_bot70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot70,629,regime,liquidity
reg_volume_trend_48_ts_top80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top80,201,regime,liquidity
reg_volume_trend_48_ts_bot80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot80,698,regime,liquidity
reg_volume_trend_48_ts_band20_80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band20_80,519,regime,liquidity
reg_volume_trend_48_ts_band25_75,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band25_75,450,regime,liquidity
reg_volume_trend_48_ts_band30_70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band30_70,360,regime,liquidity
reg_volume_trend_48_ts_band40_60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band40_60,180,regime,liquidity
reg_volume_zscore_48h_ts_top20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top20,720,regime,liquidity
reg_volume_zscore_48h_ts_bot20,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot20,179,regime,liquidity
reg_volume_zscore_48h_ts_top30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top30,630,regime,liquidity
reg_volume_zscore_48h_ts_bot30,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot30,269,regime,liquidity
reg_volume_zscore_48h_ts_top40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top40,540,regime,liquidity
reg_volume_zscore_48h_ts_bot40,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot40,359,regime,liquidity
reg_volume_zscore_48h_ts_top50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top50,450,regime,liquidity
reg_volume_zscore_48h_ts_bot50,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot50,449,regime,liquidity
reg_volume_zscore_48h_ts_top60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top60,360,regime,liquidity
reg_volume_zscore_48h_ts_bot60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot60,539,regime,liquidity
reg_volume_zscore_48h_ts_top70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top70,270,regime,liquidity
reg_volume_zscore_48h_ts_bot70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot70,629,regime,liquidity
reg_volume_zscore_48h_ts_top80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_top80,201,regime,liquidity
reg_volume_zscore_48h_ts_bot80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_bot80,698,regime,liquidity
reg_volume_zscore_48h_ts_band20_80,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band20_80,519,regime,liquidity
reg_volume_zscore_48h_ts_band25_75,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band25_75,450,regime,liquidity
reg_volume_zscore_48h_ts_band30_70,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band30_70,360,regime,liquidity
reg_volume_zscore_48h_ts_band40_60,dropped,duplicate_of_reg_volatility_autocorr_48_ts_band40_60,180,regime,liquidity
