rejection_reason,count
b_mask_ic_uplift_too_low,869
b_sign_consistency_too_low,1226
b_min_fold_support_too_low,32
b_support_instability_too_high,1
b_support_too_low,13
b_support_too_high,7
b_positive_ic_fraction_too_low,30
b_oos_ic_too_low,4
