within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.2644154031347774,1.0,0.012182845252741761,0.006781127970787345,0.11020652772886858,4,0.9995439583908797,within_leaf_future_edge,(*)|(loc_prior_bar_pos_48>-0.50001073)|(log_oi_to_volume_7d<=1.6217933&oi_chg_8h_mkt_resid<=-0.036928929&symbol_minus_mkt_ret_1h<=0.041144863)
0.04740741725233045,1.0,0.003340449551210411,0.002329110775057765,0.01585802263578294,4,0.7818343440532117,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>-0.0032854299&price_trend_7d_vol_norm<=-0.13508038)
0.1331670042559074,1.0,0.006944746916958575,0.004196145745013018,0.01783671882078844,4,0.8703416046909704,within_leaf_future_edge,(*)|(dist_local_swing<=0.0022999793)|(mark_perp_dislocation>0.0043891165&symbol_minus_mkt_ret_1h<=0.16043815)
0.09631859898498642,1.0,0.005617354545173919,0.0032727529497299174,-0.0008462031774651158,4,0.8335823210307904,within_leaf_future_edge,(*)|(dist_local_swing<=0.0018500052)|(asset_vol_level_pct>0.22533008&mark_perp_dislocation>0.00090516696&oi_chg_2h<=0.095209807&symbol_minus_mkt_ret_1h<=-0.08235918)
0.2027963949152088,1.0,0.011520113432701842,0.0058269266514924326,0.05978751077720519,4,0.9385009177833094,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.0078812856&ob_pressure_mkt_resid<=-0.0014901161)
0.1092414527121445,1.0,0.006010548790330059,0.0033022858291402012,0.027875933778348932,4,0.876393388359057,within_leaf_future_edge,(*)|(dist_local_swing<=0.013999969&dist_rolling_7d_high<=0.23786175)|(asset_ret_vs_universe_24h<=-0.030081367&coherence_24_ts_resid>-0.0071171965&mark_perp_dislocation>-0.0065959748&symbol_minus_mkt_ret_1h<=0.38970369)
0.1976077637464072,1.0,0.010246711425618917,0.004752613611206077,0.052754647402761215,4,0.9256921195427918,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.010922538&ob_pressure_mkt_resid<=-0.00000000000000000000000000000000001)
0.18813182270305642,1.0,0.011124948093741711,0.006110150415748477,0.05969508416684208,4,0.9386491370210159,within_leaf_future_edge,(*)|(loc_prior_bar_pos_24>-0.025003327)|(mark_perp_dislocation>0.0064416532&xasset_funding_peer_resid<=1.4399176)
0.18519208153316746,1.0,0.009749900541899385,0.0057725677756894096,0.05651511823061371,4,0.9335026872306181,within_leaf_future_edge,(*)|(*)|(mark_vs_perp_bps>-0.41989028&ob_pressure_mkt_resid<=-2.5011921&xasset_ob_liquidity_peer_resid>-1.6145539)
0.19830425642270544,1.0,0.013024182923975372,0.006878531291835227,0.029502115124318343,4,0.8938406310875318,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.015551693)
0.18400748534715622,1.0,0.011681273378841388,0.0060718391222419465,0.020310508039030103,4,0.8795408900251757,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.013909208)
