metric,value,filter_type
volume_kalman_snr_improvement,1.000060577458183,volume
volume_kalman_noise_reduction,-1.0,volume
volume_kalman_smoothness_ratio,100.0,volume
volume_kalman_tracking_rmse,4276.218499876322,volume
volume_kalman_high_freq_reduction,-1.0,volume
volume_kalman_low_freq_preservation,10.0,volume
moving_average_snr_improvement,196.36855590703058,moving
moving_average_noise_reduction,0.994948946288977,moving
moving_average_smoothness_ratio,0.002120786000011332,moving
moving_average_tracking_rmse,2.443342962762616,moving
moving_average_high_freq_reduction,0.633240068247637,moving
moving_average_low_freq_preservation,0.9923798542991882,moving
fisher_snr_improvement,0.0011041746624849758,fisher
fisher_noise_reduction,-0.0014662899220299064,fisher
fisher_smoothness_ratio,0.4451569542667297,fisher
fisher_tracking_rmse,984.2091694287876,fisher
fisher_high_freq_reduction,0.7049929208656471,fisher
fisher_low_freq_preservation,0.0009073874464645277,fisher
