fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,alpha,metric,target_type,target_name,horizon
0,42,34,,6,64,40,quantile,0.9,quantile,quantile,target_vame,10
1,42,233,,6,64,50,quantile,0.9,quantile,quantile,target_vame,10
2,42,170,,6,64,50,quantile,0.9,quantile,quantile,target_vame,10
