scope,strategy_short,n,trades_per_day,gross_hit_rate,net_hit_rate,same_exit_price_gap_gross_hit_rate,same_exit_price_gap_net_hit_rate,gross_bps_mean,gross_bps_median,net_bps_mean,net_bps_median,same_exit_price_gap_gross_bps_mean,same_exit_price_gap_net_bps_mean,same_exit_price_gap_bps_mean,same_exit_price_gap_bps_median,friction_drag_bps_mean,fees_bps_mean,slippage_bps_mean,orderbook_slippage_bps_mean,entry_gap_bps_mean,entry_gap_bps_p90,entry_slippage_proxy_bps_mean,expected_friction_bps_mean,delayed_1m_fill_rate,strategy_id
all_local_candidates,long_dist,4795,40.111537120948064,0.6642335766423357,0.6625651720542232,0.6642335766423357,0.6625651720542232,320.0103904458049,200.6363922004669,299.69037902541,180.43575079449235,319.8660806748252,299.54606925443034,0.14430977097968117,0.0,20.320011420394884,20.320011420394884,0.0,0.0,-0.1421359926776973,0.0,0.010478178887516733,20.320011420394884,0.9897810218978103,long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366
all_local_candidates,long_dist,3494,29.29979035639413,0.6124785346307956,0.6090440755580996,0.6124785346307956,0.6090440755580996,295.49092661230037,173.50673472534794,275.1954345586957,153.3332236800898,295.50822042998595,275.2127283763813,-0.01729381768557109,0.0,20.295492053604626,20.295492053604626,0.0,0.0,0.01758070939727196,0.0,0.0,20.295492053604626,0.9891242129364625,long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899
all_local_candidates,long_dist,6315,52.826768909027535,0.5817893903404592,0.5776722090261283,0.5821060965954078,0.5778305621536025,273.6438625473933,141.94369400892091,253.37021770359516,121.8017518799084,273.43974601846156,253.16610117466334,0.20411652893175436,0.0,20.273644843798188,20.273644843798188,0.0,0.0,-0.20689213003692122,0.0,0.008480561862530588,20.273644843798188,0.9838479809976247,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828
all_local_candidates,long_dist,5195,43.48796651552145,0.5358999037536092,0.5349374398460057,0.5358999037536092,0.5349374398460057,263.24581056244415,80.26003478443268,242.98256423624463,60.17977583986428,263.2526359727989,242.9893896465993,-0.006825410354699487,0.0,20.263246326199567,20.263246326199567,0.0,0.0,0.010020403133212574,0.0,0.0,20.263246326199567,0.6785370548604427,long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735
all_local_candidates,long_loc,4465,37.36401673640167,0.5970884658454647,0.5852183650615902,0.5966405375139978,0.5845464725643897,328.5965353580632,150.03324221336845,308.26793729919723,129.8832104992147,327.61649294904134,307.2878948901753,0.9800424090219185,0.0,20.328598058865982,20.328598058865982,0.0,0.0,-0.9937311663546451,0.0,0.022396348423210907,20.328598058865982,0.9914893617021276,long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595
all_local_candidates,short_dist,2747,22.995465643529823,0.7688387331634511,0.7688387331634511,0.23116126683654897,0.1791044776119403,392.58199237537065,309.95666313162434,372.1894097985521,289.6466986409533,-392.5624853537401,-412.95506793055864,785.1444777291106,619.9133262632496,20.39258257681862,20.39258257681862,0.0,0.0,-0.020246723544037337,-0.0,0.0,20.39258257681862,0.991991263196214,short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597
all_local_candidates,short_dist,474,4.0440810522573765,0.7046413502109705,0.7046413502109705,0.29324894514767935,0.21729957805907174,223.64531761968195,191.06209524518934,203.42167150258342,170.8710310544137,-223.96887260589668,-244.19251872299517,447.61419022557857,382.12419049037845,20.223646117098532,20.223646117098532,0.0,0.0,0.3825553695380791,-0.0,0.0,20.223646117098532,0.9957805907172996,short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644
passes_current_deployment_rank,long_dist,6315,52.826768909027535,0.5817893903404592,0.5776722090261283,0.5821060965954078,0.5778305621536025,273.6438625473933,141.94369400892091,253.37021770359516,121.8017518799084,273.43974601846156,253.16610117466334,0.20411652893175436,0.0,20.273644843798188,20.273644843798188,0.0,0.0,-0.20689213003692122,0.0,0.008480561862530588,20.273644843798188,0.9838479809976247,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828
passes_current_deployment_rank,long_dist,5195,43.48796651552145,0.5358999037536092,0.5349374398460057,0.5358999037536092,0.5349374398460057,263.24581056244415,80.26003478443268,242.98256423624463,60.17977583986428,263.2526359727989,242.9893896465993,-0.006825410354699487,0.0,20.263246326199567,20.263246326199567,0.0,0.0,0.010020403133212574,0.0,0.0,20.263246326199567,0.6785370548604427,long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735
passes_current_deployment_rank,short_dist,2747,22.995465643529823,0.7688387331634511,0.7688387331634511,0.23116126683654897,0.1791044776119403,392.58199237537065,309.95666313162434,372.1894097985521,289.6466986409533,-392.5624853537401,-412.95506793055864,785.1444777291106,619.9133262632496,20.39258257681862,20.39258257681862,0.0,0.0,-0.020246723544037337,-0.0,0.0,20.39258257681862,0.991991263196214,short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597
passes_current_deployment_rank,short_dist,435,3.711340206185567,0.7080459770114943,0.7080459770114943,0.2896551724137931,0.21379310344827587,226.7370864086543,203.6952899863165,206.51034839688478,183.49158926550317,-226.95077741394348,-247.17751542571304,453.68786382259776,407.39057997263296,20.226738011769537,20.226738011769537,0.0,0.0,0.21355580234952887,-0.0,0.0,20.226738011769537,0.9954022988505747,short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644
