within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.09218793541519592,1.0,0.005252586138808576,0.003137498471294901,0.03248514425645538,4,0.8794896760567855,within_leaf_future_edge,(*)|(dist_local_swing<=0.00083899638)|(mark_vs_perp_bps<=1.8644589&price_trend_15d_vol_norm>-0.067172013&rv_24h_peer_resid>-0.020026812)
0.041228141414936914,0.5,0.002288382231618739,0.0013145568435799057,0.027105835132674547,4,0.6262617067727758,within_leaf_future_edge,(*)|(*)|(asset_minus_mkt_oi_1d_ts_resid>-0.22423793&log_oi_to_volume_1d<=4.3270955&mark_vs_perp_bps<=1.2211692&oi_value_log_1d_robust_z>0.31510317&rv_24h_peer_resid>-1.102102)
0.18227911570780808,1.0,0.008553395426078322,0.005374553940280674,0.077854987852852,4,0.9648414081365416,within_leaf_future_edge,(*)|(loc_session_pos_48>0.46189308)|(mark_perp_dislocation<=0.0026976799&ob_pressure_mkt_resid<=-0.0014901161)
-0.019663933759946385,0.25,-0.0029174362452375727,-0.000705553667285249,0.00801129714183517,4,0.0,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation<=0.0016911814&rv_24h_peer_resid>1.1702795)
0.24024020728676218,1.0,0.01116134416205861,0.006846604576714124,0.0793056962692232,4,0.9685266658531629,within_leaf_future_edge,(*)|(*)|(asset_minus_mkt_oi_1d_peer_resid>-0.31912619&mark_vs_perp_bps<=-2.0000217&ob_pressure_mkt_resid<=-0.0014901161)
0.1521937351354931,1.0,0.008612767126820338,0.005583593995107396,0.032801536797377476,4,0.8976134550475326,within_leaf_future_edge,(*)|(*)|(asset_funding_rate_abs_mean_7d>0.000026536612&mark_vs_perp_bps<=1.9101473&oi_chg_8h_robust_z_peer_resid>0.20784692&range_per_funding_abs_z_24h>-1.0224713)
0.2477775362784549,1.0,0.010543757543454714,0.0064868438084167285,0.10720926604599842,4,0.9993784086563942,within_leaf_future_edge,(*)|(*)|(mark_vs_perp_bps<=-2.0052161&ob_pressure_mkt_resid<=-0.0014901161&price_trend_15d_vol_norm>-0.068662412)
0.11427922475530122,1.0,0.0055877774397973794,0.0030369262279140016,0.01670023524172473,4,0.8548715544443084,within_leaf_future_edge,(*)|(*)|(asset_funding_rate_abs_mean_7d>0.000016253427&mark_perp_dislocation<=-0.0068023638&rv_24h_peer_resid>-0.42208114)
0.07602806178921949,0.75,0.0030762082188628714,0.001902812808626654,0.016852283299796433,4,0.7638125542909973,within_leaf_future_edge,(*)|(*)|(log_oi_to_volume_1d<=8.2302485&mark_vs_perp_bps<=-1.5943781&oi_1d_chg_z>0.50673383)
0.19054884024266353,1.0,0.008097015475316272,0.004585180905185126,0.06847573903375526,4,0.9485218811639683,within_leaf_future_edge,(*)|(*)|(mark_vs_perp_bps<=2.0291276&ob_imbalance_mkt_resid<=-0.00089406967&oi_1d_chg_z>0.093135089)
0.2527029943011724,1.0,0.011575699328283336,0.00699848075981529,0.08133755383383262,4,0.9716366609804945,within_leaf_future_edge,(*)|(*)|(asset_minus_universe_median_ret_4h>-0.30846483&mark_vs_perp_bps<=1.6341439&ob_imbalance_mkt_resid<=-0.0021142077)
