canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(*)|(mark_perp_dislocation>-0.00073962414&ob_pressure_mkt_resid<=-2.5008941),2,2,regime,perp_tradeability|residual,,perp_tradeability|residual
(*)|(*)|(ob_pressure_mkt_resid>-2.5008941&price_trend_15d_vol_norm<=-0.078905821),2,2,regime,open_interest|residual,,open_interest|residual
(*)|(*)|(asset_ret_vs_universe_24h<=-0.32969442&ob_pressure_mkt_resid>-2.5008941&price_trend_15d_vol_norm>-0.078905821&trend_pct_resid<=0.00042169978),4,4,regime,asset_relative_return|open_interest|residual,,asset_relative_return|open_interest|residual
(*)|(*)|(asset_ret_vs_universe_24h>-0.32969442&ob_pressure_mkt_resid>-2.5008941&oi_7d_chg_z<=-0.43346485&price_trend_15d_vol_norm>-0.078905821&trend_pct_resid<=0.00042169978),5,5,regime,asset_relative_return|open_interest|residual,,asset_relative_return|open_interest|residual
(*)|(*)|(asset_ret_vs_universe_24h>-0.32969442&ob_pressure_mkt_resid>-2.5008941&oi_7d_chg_z>-0.43346485&price_trend_15d_vol_norm>-0.078905821&prior_range>0.025235498&trend_pct_resid<=0.00042169978),6,6,regime,asset_relative_return|context|open_interest|residual,,asset_relative_return|context|open_interest|residual
(*)|(*)|(asset_mom_minus_basket_mom_24h<=-0.81906545&asset_ret_vs_universe_24h<=0.84253758&price_rv_7d_robust_z<=0.21016943&price_trend_15d_vol_norm<=-0.013187993&price_trend_7d_vol_norm>-0.12703604),5,5,regime,asset_relative_return|open_interest,,asset_relative_return|open_interest
(*)|(*)|(asset_ret_vs_universe_24h>0.84253758&price_trend_15d_vol_norm<=-0.013187993&price_trend_7d_vol_norm>-0.12703604),3,3,regime,asset_relative_return|open_interest,,asset_relative_return|open_interest
(*)|(dist_local_swing<=0.002000019)|(asset_minus_universe_median_ret_4h<=0.18254954&price_trend_15d_vol_norm>-0.013187993),3,3,location|regime,asset_relative_return|open_interest,context,asset_relative_return|context|open_interest
(*)|(dist_local_swing>0.002000019)|(asset_minus_universe_median_ret_24h>0.010693941&dist_oiw_abs_delta_12h_atr<=0.46823362&price_trend_15d_vol_norm>-0.013187993&range_expansion_ratio<=-0.25426131),5,5,location|regime,asset_relative_return|open_interest|perp_tradeability|volatility_term_structure,context,asset_relative_return|context|open_interest|perp_tradeability|volatility_term_structure
(*)|(dist_local_swing>0.002000019)|(asset_minus_universe_median_ret_24h>0.010693941&dist_oiw_abs_delta_12h_atr<=0.46823362&price_trend_15d_vol_norm>-0.013187993&range_expansion_ratio>-0.25426131),5,5,location|regime,asset_relative_return|open_interest|perp_tradeability|volatility_term_structure,context,asset_relative_return|context|open_interest|perp_tradeability|volatility_term_structure
(*)|(*)|(direction_entropy_20>-0.10307891&dist_oiw_z_delta_96h_atr<=-1.6548939&ob_pressure_mkt_resid<=-0.00089406967),3,3,regime,path_structure|perp_tradeability|residual,,path_structure|perp_tradeability|residual
(*)|(loc_prev_week_range_pos_48<=0.23088296)|(ob_pressure_mkt_resid>-0.00000000000000000000000000000000001&rolling_range_20>0.15062992),3,3,location|regime,compression|residual,context,compression|context|residual
(*)|(loc_prev_week_range_pos_48>0.23088296)|(funding_mean_10d_robust_z>0.042817332&ob_pressure_mkt_resid>-0.00000000000000000000000000000000001&oi_value_1d_chg_z_90d<=-0.019995464),4,4,location|regime,open_interest|residual,context,context|open_interest|residual
(*)|(loc_prev_week_range_pos_48>0.23088296&loc_swing_range_pos_48<=0.78743446)|(atr_compression_ratio<=0.10772751&ob_pressure_mkt_resid>-0.00000000000000000000000000000000001&oi_value_1d_chg_z_90d>-0.019995464),5,5,location|regime,open_interest|residual|volatility_term_structure,context,context|open_interest|residual|volatility_term_structure
(*)|(loc_prev_week_range_pos_48>0.23088296&loc_swing_range_pos_48<=0.78743446)|(atr_compression_ratio>0.10772751&ob_pressure_mkt_resid>-0.00000000000000000000000000000000001&oi_value_1d_chg_z_90d>-0.019995464),5,5,location|regime,open_interest|residual|volatility_term_structure,context,context|open_interest|residual|volatility_term_structure
(*)|(dist_prior_day_low<=0.04427157)|(oi_value_7d_chg_z_90d>-0.38589588&price_trend_15d_vol_norm<=-0.051491685),3,3,location|regime,open_interest,context,context|open_interest
(*)|(dist_local_swing<=0.0019644946&dist_prior_day_low<=0.04427157)|(price_trend_15d_vol_norm>-0.051491685&range_24h_pct<=0.048070628),4,4,location|regime,compression|open_interest,context,compression|context|open_interest
(*)|(dist_local_swing>0.0019644946&dist_prior_day_low<=0.04427157)|(asset_minus_mkt_oi_7d>-0.19566129&price_trend_15d_vol_norm>-0.051491685&realized_volatility_24h<=0.14601204),5,5,location|regime,open_interest|volatility,context,context|open_interest|volatility
(*)|(dist_prior_day_low>0.04427157&loc_pivot_ladder_pos_48<=0.21950227)|(trend_pct_resid>0.0091209849),3,3,location|regime,residual,context,context|residual
(*)|(dist_prior_day_low>0.04427157&loc_pivot_ladder_pos_48>0.21950227)|(trend_pct_resid>0.0091209849),3,3,location|regime,residual,context,context|residual
(*)|(loc_prev_day_range_pos_24<=0.23400541)|(asset_minus_universe_median_ret_24h<=0.62212753&log_oi_to_volume_1d<=41.766735&ob_depth_usd_l20_z>0.24892952),4,4,location|regime,asset_relative_return|open_interest|orderbook,context,asset_relative_return|context|open_interest|orderbook
(*)|(loc_prev_day_range_pos_24>0.23400541)|(asset_minus_universe_median_ret_24h<=0.62212753&log_oi_to_volume_1d<=41.766735&mark_vs_perp_bps>0.24060819&ob_depth_z_25bps<=-0.46703637),5,5,location|regime,asset_relative_return|open_interest|orderbook|perp_tradeability,context,asset_relative_return|context|open_interest|orderbook|perp_tradeability
(*)|(*)|(asset_minus_universe_median_ret_24h<=0.62212753&log_oi_to_volume_1d>41.766735),2,2,regime,asset_relative_return|open_interest,,asset_relative_return|open_interest
(*)|(*)|(asset_minus_universe_median_ret_24h>0.62212753&oi_value_1d_chg_z_90d<=0.17204729&oi_value_z_30d>-0.26500401&rv_24h_peer_resid>-0.18041888),4,4,regime,asset_relative_return|open_interest|residual,,asset_relative_return|open_interest|residual
