rejection_reason,count
b_sign_consistency_too_low,1041
b_mask_ic_uplift_too_low,243
b_min_fold_support_too_low,139
b_support_too_low,60
b_oos_ic_too_low,34
b_positive_ic_fraction_too_low,275
b_support_instability_too_high,4
low_support,2
b_support_too_high,6
b_decile_spread_too_low,1
