regime_family,generated_booleans,retained,dropped
asset_relative_funding,2,2,0
asset_relative_orderbook,1,0,1
asset_state,2,2,0
compression,4,4,0
context,2,2,0
crowding,2,2,0
funding,9,9,0
liquidity,6,6,0
momentum,1,1,0
open_interest,30,30,0
path_structure,8,6,2
perp_tradeability,20,13,7
residual,15,15,0
trend,5,4,1
volatility,4,3,1
volatility_term_structure,4,4,0
