canonical_key,source_tree,source_leaf,source_target,source_horizon,side,count,support_pct,mean_net_ret,shrunk_mean_net_ret,mean_uplift,shrunk_mean_uplift,tstat_net_ret,presence_freq,sign_consistency,support_score,diversity_score,cheap_score,rejection_reason,mean_baseline_ret,std_support_pct,unique_symbol_count,unique_day_count,max_single_symbol_share,max_single_day_share,discovery_count,accepted
(*)|(bars_in_high_vol_state_log_norm>-0.57277608&zscore_price_200<=-1.4941827)|(*),3,8,returns_target,5,long,150,0.08741258741258741,0.005613393783569336,0.002105022668838501,0.004691639100298276,0.0017593646626118534,4.384144550391363,1.0,1.0,0.4895104895104895,0.6466666666666667,0.7118316793605175,a1_symbol_diversity_too_low|a1_symbol_concentration_too_high|a1_day_concentration_too_high,-0.0006263488104107252,0.04850193244262105,4,14,0.5066666666666667,0.26,1,False
(*)|(dist_rolling_7d_high<=0.2003309&zscore_price_200>-1.4941827)|(amihud_illiq>1.2681557&range_expansion_ratio>-1.0833098),3,4,returns_target,5,long,158,0.09207459207459208,0.004907582002350047,0.0019004851871845768,0.005276985514734853,0.0020435385081571246,5.090693231511165,1.0,1.0,0.5156177156177156,0.719620253164557,0.690388290679026,a1_symbol_diversity_too_low,-0.0006263488104107252,0.009738967416775914,4,16,0.36075949367088606,0.20253164556962025,1,False
(*)|(dist_rolling_7d_high>0.062852383&zscore_price_200<=-0.54225719)|(volatility_ratio_short_long<=0.30007309&volume_autocorr_48<=-0.66885924),4,1,returns_target,5,long,269,0.15675990675990675,0.003181247684592208,0.0016488547729389285,0.0037870969089884967,0.001962869110824481,3.170439328042595,1.0,1.0,0.5221445221445221,0.745724907063197,0.6718813018649026,a1_symbol_diversity_too_low,-0.0006263488104107252,0.005131671002492816,4,25,0.30855018587360594,0.08921933085501858,1,False
(*)|(dist_rolling_7d_high<=0.13108917)|(ema50_slope<=0.069348522&range_24h_pct<=0.082193136&range_expansion_ratio>-0.30309248&return_autocorr_48>-0.16391906),3,7,returns_target,5,long,179,0.10431235431235432,0.0035263965915701243,0.0014713869228229657,0.008451672803305024,0.0035264555519617696,2.5541257176521617,1.0,1.0,0.8841491841491842,0.6877094972067039,0.6651010936901974,a1_symbol_diversity_too_low,-0.0006263488104107252,0.07253418283827934,4,18,0.4245810055865922,0.20670391061452514,1,False
(*)|(dist_rolling_7d_high>0.20517434)|(*),2,2,returns_target,5,long,288,0.16783216783216784,0.0029090077926715216,0.0015572383722851268,0.005028474196676804,0.0026918226182953897,2.7855469919113873,0.5,1.0,0.4601398601398601,0.41874999999999996,0.5943650307577234,a1_symbol_diversity_too_low|a1_symbol_concentration_too_high,-0.0021194664040052823,0.16647398843930636,2,16,0.5625,0.16666666666666666,1,False
(*)|(dist_prior_day_high<=0.017717037&pullback_depth>0.11631478)|(volume_percentile<=0.58808237),1,2,returns_target,5,long,203,0.1182983682983683,0.00197694806629801,0.0008859171246324416,0.0025030985871434567,0.001121697600861196,1.8725843353163012,1.0,1.0,0.9624708624708624,0.7546798029556651,0.5887624707212898,a1_symbol_diversity_too_low,-0.0006263488104107252,0.02719072427541893,4,26,0.29064039408866993,0.11330049261083744,1,False
(*)|(*)|(compression_ratio<=1.5318943&compression_score>-0.16299933&true_range_percentile>-1.0385388&volatility_ratio_short_long<=-0.27609599&volume_autocorr_48<=1.1082233&volume_percentile<=0.98444891),7,9,returns_target,5,long,146,0.08508158508158509,0.0037589726382738923,0.001385883851484819,0.004116235710918028,0.0015176020550354344,2.512970459928217,1.0,1.0,0.47645687645687645,0.691095890410959,0.5844310794932001,a1_symbol_diversity_too_low,-0.0006263488104107252,0.01096160246700583,4,30,0.4178082191780822,0.136986301369863,1,False
(*)|(dist_rolling_7d_high>0.1224259)|(tail_asymmetry_q90_q10_atr_norm>-0.1019747),6,3,returns_target,5,long,370,0.21561771561771562,0.0021227801168287124,0.0012668203923010058,0.004277514339779232,0.0025527101705134126,2.4152509805421944,1.0,1.0,0.19254079254079254,0.654054054054054,0.5522237969480146,a1_support_too_high|a1_symbol_diversity_too_low,-0.0006263488104107252,0.1229576900348451,4,21,0.4918918918918919,0.11891891891891893,1,False
(*)|(dist_ma100_atr>-0.0027330492)|(choppiness_index_20<=0.22616932&volume_zscore_48h<=-0.29575825),0,5,returns_target,5,long,175,0.10198135198135198,0.0018937362943376814,0.0007797737682566923,0.0032947541419137165,0.0013566634701997655,1.5855970901795682,1.0,1.0,0.871095571095571,0.7228571428571429,0.5394171599628816,a1_symbol_diversity_too_low,-0.0006263488104107252,0.04920358911311412,4,21,0.35428571428571426,0.10857142857142857,1,False
(*)|(dist_rolling_7d_high<=0.072073169&loc_vwap_dev_z_24>0.00000000000000000000000000000000001)|(compression_ratio<=-0.1923634),0,11,returns_target,5,long,192,0.11188811188811189,0.0018634339794516563,0.0008094554842866924,0.0003201082252541575,0.00013905153676198697,1.548793287645566,1.0,0.5,0.9265734265734265,0.7411458333333334,0.5133764584339995,a1_sign_consistency_too_low|a1_symbol_diversity_too_low,-0.0006263488104107252,0.0626885744754556,4,16,0.3177083333333333,0.16666666666666666,1,False
