stage,rows,symbols,fraction_of_prev
side_input,5185,6,1.0
stage_a_feature_matrix,5185,6,1.0
stage_a_target_finite,5185,6,1.0
stage_a_any_feature_finite,5185,6,1.0
stage_a_complete_rows,5185,6,1.0
