fold_id,seed,regime_family,gain,split
0,42,basis,31.331924,14.0
0,42,compression,153.49039,37.0
0,42,context,171.02716,32.0
0,42,cross_asset,662.8943,63.0
0,42,cross_asset_orderbook,357.57434,40.0
0,42,cross_sectional,158.74586,17.0
0,42,liquidity,422.55142,77.0
0,42,mark_index,141.51076,36.0
0,42,momentum,141.29938,23.0
0,42,orderbook,26.118061,7.0
0,42,path_structure,755.9518,114.0
0,42,trend,70.44556,19.0
0,42,volatility,312.03845,47.0
0,42,volatility_term_structure,476.62482,69.0
1,42,basis,24.188614,14.0
1,42,compression,156.6758,37.0
1,42,context,170.68494,31.0
1,42,cross_asset,906.4606,82.0
1,42,cross_asset_orderbook,522.1512,56.0
1,42,cross_sectional,167.39375,28.0
1,42,liquidity,458.92484,86.0
1,42,mark_index,200.164,47.0
1,42,momentum,80.38596,20.0
1,42,orderbook,31.61321,9.0
1,42,path_structure,468.9707,100.0
1,42,trend,172.24878,42.0
1,42,volatility,351.64322,71.0
1,42,volatility_term_structure,234.0127,38.0
2,42,basis,15.578291,13.0
2,42,compression,19.324371,5.0
2,42,context,12.416279,2.0
2,42,cross_asset,297.52295,15.0
2,42,cross_asset_orderbook,169.93364,18.0
2,42,cross_sectional,13.980765,4.0
2,42,liquidity,65.916954,11.0
2,42,mark_index,49.855778,7.0
2,42,momentum,0.535321,1.0
2,42,orderbook,11.960939,2.0
2,42,path_structure,166.18002,26.0
2,42,trend,25.09334,8.0
2,42,volatility,86.36214,16.0
2,42,volatility_term_structure,146.03899,19.0
3,42,basis,5.07582,2.0
3,42,compression,19.278566,4.0
3,42,context,0.268833,1.0
3,42,cross_asset,65.949295,2.0
3,42,cross_asset_orderbook,25.172958,3.0
3,42,mark_index,3.363632,3.0
3,42,momentum,6.74019,2.0
3,42,path_structure,34.37307,5.0
3,42,volatility,15.735291,3.0
3,42,volatility_term_structure,29.70377,3.0
4,42,basis,204.89459,134.0
4,42,compression,422.79764,180.0
4,42,context,295.36838,104.0
4,42,cross_asset,908.4477,191.0
4,42,cross_asset_orderbook,587.9729,163.0
4,42,cross_sectional,300.7633,108.0
4,42,liquidity,661.54803,282.0
4,42,mark_index,441.83887,223.0
4,42,momentum,242.38585,74.0
4,42,orderbook,92.16266,43.0
4,42,path_structure,1167.8418,373.0
4,42,trend,461.57916,171.0
4,42,volatility,684.48895,248.0
4,42,volatility_term_structure,765.3796,261.0
