,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vp_in_lvn_below_zone,0.032334626,0.012846774,0.08138449,56.166668,11.653564,270.70642,118.9025,44.54634,317.373,0.038224757,0.014761701,0.098981276,0.34172434,0.08456529,1.3808918,3.0,1.0,0.4,1.0,0.98417723,1.0,0.0,1.0,0.8333333,0.9460443,1.0
G_EXH_GIVEBACK,0.023108846,0.010331362,0.0516891,31.5,7.6757193,129.27127,79.913795,38.35152,166.51791,0.026512502,0.012724304,0.05524175,0.24323198,0.12601739,0.46947324,7.5,0.0,0.8,0.7064616,0.8892405,1.0,0.0,5.0,5.8333335,0.760864,2.0
dist_from_high_vol,0.021860454,0.0053681214,0.08902173,29.333334,4.749269,181.17409,79.53603,22.647888,279.31876,0.026403956,0.00729575,0.09555822,0.24269333,0.08879771,0.66330594,2.0,0.0,0.8,0.66674125,0.96202534,1.0,0.0,3.5,2.0,0.75721407,3.0
is_trending,0.02121817,0.010252956,0.043910332,27.666666,6.1010017,125.46209,69.65242,37.405724,129.6983,0.024621293,0.013261698,0.045711197,0.2084237,0.11921094,0.36439976,13.0,0.0,0.8,0.64630556,0.8544304,1.0,0.0,9.0,7.6666665,0.7190757,4.0
loc_prev_week_range_pos_24,0.017368102,0.0028272816,0.10669294,33.5,3.4034297,329.7409,71.60024,15.592605,328.7837,0.02120972,0.004324703,0.10401921,0.21838614,0.072606035,0.656867,1.0,0.5,0.8,0.5238072,0.971519,1.0,0.0,5.5,1.5,0.68097377,5.0
mr_tape,0.0175484,0.010002974,0.030785477,39.333332,12.405196,124.71477,66.687065,34.58768,128.57654,0.02070027,0.01148548,0.037308075,0.19838701,0.10880772,0.36171517,21.0,0.0,0.8,0.5295438,0.8322785,1.0,0.0,7.0,8.833333,0.6493187,6.0
down_up_vol_ratio_24,0.015562392,0.004888645,0.049540937,34.666668,6.9920588,171.87752,62.177174,21.217678,182.20659,0.018327763,0.0060497504,0.0555241,0.17868158,0.056458917,0.5654927,7.5,0.0,0.8,0.4663546,0.84810126,1.0,0.0,8.0,8.0,0.6185204,7.0
up_down_semivol_ratio_tanh,0.012502841,0.004253461,0.03675149,29.5,5.8238015,149.42989,45.469414,14.943668,138.35074,0.014622862,0.005012179,0.042661708,0.13779385,0.061851207,0.30698103,14.0,0.0,0.0,0.36900827,0.8575949,1.0,0.0,19.5,7.5,0.56735325,8.0
loc_range_pos_24,0.011857778,0.002369564,0.059338715,24.833334,4.0585985,151.94763,47.500877,11.004768,205.03236,0.014000866,0.0028618434,0.068495795,0.13662064,0.035992913,0.5185799,4.0,0.0,0.8,0.3484842,0.84810126,0.8333333,0.0,11.5,8.0,0.52869165,9.0
range_expansion_ratio_G_VOL_1,0.01054547,0.0031553337,0.03524411,22.166666,4.597705,106.87096,40.949448,12.489885,134.2572,0.01271558,0.0040642642,0.03978235,0.124809906,0.057869233,0.26918468,16.5,0.0,0.8,0.30673024,0.8386076,1.0,0.0,28.0,8.5,0.5283536,10.0
loc_pullback_depth_24,0.01193748,0.0039441856,0.036130004,28.5,6.157651,131.90907,45.1523,16.456974,123.88246,0.014446061,0.005210117,0.04005451,0.12999718,0.04769451,0.35432306,16.5,0.0,0.8,0.3510201,0.7848101,0.8333333,0.0,14.5,11.333333,0.5142636,11.0
zscore_price_50,0.008756452,0.0018750216,0.040893108,22.5,2.9297326,172.79733,35.834507,6.151793,208.73784,0.010405103,0.0017994643,0.060165774,0.10467129,0.03101808,0.35321593,9.0,0.5,1.0,0.24980873,0.8449367,1.0,0.0,24.0,8.166667,0.498629,12.0
zscore_price_200,0.009141386,0.0019607365,0.042619154,26.5,4.681524,150.00458,41.45126,9.063744,189.56924,0.011220747,0.0025225151,0.049912546,0.12621976,0.0415388,0.38353127,12.0,0.0,0.8,0.26205623,0.84810126,0.8333333,0.0,13.5,8.0,0.48115623,13.0
trend_pct_base,0.010211948,0.0046403627,0.022473218,23.0,4.8989797,107.981674,39.62932,17.499784,89.74299,0.012067688,0.0056215515,0.025905497,0.120984584,0.07108723,0.20590574,38.0,0.0,0.8,0.29611853,0.76265824,0.8333333,0.0,27.0,12.5,0.47852975,14.0
dn_vol,0.009171405,0.0019141656,0.043943256,21.5,5.0579967,91.38993,35.948578,7.4460344,173.5555,0.010961417,0.0025203866,0.047672316,0.10269226,0.02323387,0.4538934,10.0,0.5,0.8,0.26301134,0.8164557,0.8333333,0.0,23.0,9.666667,0.47377017,15.0
ffd_rv_24h_04,0.008616853,0.002176532,0.03411397,14.833333,1.9507834,112.78945,35.51558,10.388503,121.418495,0.011177544,0.0030587849,0.04084546,0.10474654,0.042652432,0.2572383,19.0,0.0,0.8,0.24536705,0.84177214,0.8333333,0.0,27.0,8.333333,0.4703949,16.0
loc_range_pos_48,0.008127753,0.001261763,0.0523556,22.166666,2.409472,203.92896,32.636433,5.1819386,205.54791,0.00967901,0.0015988761,0.058593184,0.09433422,0.021007214,0.42361376,5.0,0.0,0.8,0.22980526,0.85126585,0.8333333,0.0,30.0,7.8333335,0.46420938,17.0
rejection_proxy,0.009949466,0.0033675914,0.029395457,23.666666,5.1532083,108.69173,40.18748,12.714859,127.01939,0.012212719,0.0042950744,0.03472594,0.117850415,0.049175564,0.28243133,25.0,0.0,0.8,0.28776708,0.6898734,0.8333333,0.0,19.5,16.333334,0.45574024,18.0
