rejection_reason,count
b_sign_consistency_too_low,1048
b_mask_ic_uplift_too_low,554
b_support_too_low,70
b_min_fold_support_too_low,136
b_support_too_high,15
b_positive_ic_fraction_too_low,178
b_support_instability_too_high,10
b_oos_ic_too_low,25
low_support,3
