fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,alpha,metric,target_type,target_name,horizon,total_splits,total_gain,is_healthy_fold,health_reason
0,42,99,,6,64,34,quantile,0.09999999999999998,quantile,quantile,target_ela,3,1489,135.63113,True,healthy
1,42,7,,6,64,44,quantile,0.09999999999999998,quantile,quantile,target_ela,3,112,40.372925,True,healthy
2,42,37,,6,64,44,quantile,0.09999999999999998,quantile,quantile,target_ela,3,539,112.40604,True,healthy
