regime_families_combo,count
trend|volatility,1757
volatility,171
trend|volatility|volatility_term_structure,99
trend,68
compression|trend|volatility,24
volatility|volatility_term_structure,7
trend|volatility_term_structure,6
compression|volatility,4
,4
