fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,alpha,metric,target_type,target_name,horizon
0,42,240,,6,64,34,quantile,0.9,quantile,quantile,target_ela,3
1,42,94,,6,64,44,quantile,0.9,quantile,quantile,target_ela,3
2,42,64,,6,64,44,quantile,0.9,quantile,quantile,target_ela,3
