canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(loc_swing_range_pos_24>0.073787324)|(realized_volatility_24h<=-0.27891287&trend_pct_mkt_resid<=-0.0042022751),3,3,location|regime,residual|volatility,context,context|residual|volatility
(*)|(*)|(realized_volatility_24h>-0.27891287&rolling_range_20<=-0.31288922&trend_pct_mkt_resid<=-0.0042022751),3,3,regime,compression|residual|volatility,,compression|residual|volatility
(*)|(*)|(mark_vs_perp_bps<=0.22155155&realized_volatility_24h>-0.27891287&rolling_range_20>-0.31288922&trend_pct_mkt_resid<=-0.0042022751),4,4,regime,compression|perp_tradeability|residual|volatility,,compression|perp_tradeability|residual|volatility
(*)|(*)|(mark_vs_perp_bps>0.22155155&realized_volatility_24h>-0.27891287&rolling_range_20>-0.31288922&trend_pct_mkt_resid<=-0.0042022751),4,4,regime,compression|perp_tradeability|residual|volatility,,compression|perp_tradeability|residual|volatility
(*)|(*)|(mark_vs_perp_bps<=0.44575927&rolling_range_20>-0.074343137&trend_pct_mkt_resid>-0.0042022751&up_down_semivol_ratio_tanh<=1.2285482),4,4,regime,compression|path_structure|perp_tradeability|residual,,compression|path_structure|perp_tradeability|residual
(*)|(*)|(funding_vol_10d_robust_z>-0.15291868&mark_vs_perp_bps>0.44575927&trend_pct_mkt_resid>-0.0042022751&up_down_semivol_ratio_tanh<=1.2285482&volume_entropy_24<=-0.098651737),5,5,regime,liquidity|open_interest|path_structure|perp_tradeability|residual,,liquidity|open_interest|path_structure|perp_tradeability|residual
(*)|(*)|(funding_vol_10d_robust_z>-0.15291868&mark_vs_perp_bps>0.44575927&trend_pct_mkt_resid>-0.0042022751&up_down_semivol_ratio_tanh<=1.2285482&volume_entropy_24>-0.098651737),5,5,regime,liquidity|open_interest|path_structure|perp_tradeability|residual,,liquidity|open_interest|path_structure|perp_tradeability|residual
(*)|(loc_swing_range_pos_48>0.3559193)|(mark_vs_perp_bps<=1.055512&range_24h_pct<=0.055619359),3,3,location|regime,compression|perp_tradeability,context,compression|context|perp_tradeability
(*)|(*)|(dist_oiw_z_delta_96h_atr<=-0.023296116&mark_vs_perp_bps>1.055512&range_24h_pct<=0.055619359),3,3,regime,compression|perp_tradeability,,compression|perp_tradeability
(*)|(pullback_depth<=0.38840613)|(asset_funding_rate_mean_7d<=0.000012992424&prior_volatility<=0.10362601&range_24h_pct>0.055619359),4,4,location|regime,compression|context|perp_tradeability,context,compression|context|perp_tradeability
(*)|(pullback_depth<=0.38840613)|(asset_funding_rate_mean_7d>0.000012992424&range_24h_pct>0.055619359),3,3,location|regime,compression|perp_tradeability,context,compression|context|perp_tradeability
(*)|(pullback_depth>0.38840613)|(oi_value_z_30d<=-0.65983182&range_24h_pct>0.055619359),3,3,location|regime,compression|open_interest,context,compression|context|open_interest
(*)|(pullback_depth>0.38840613)|(mark_vs_perp_bps>0.33259204&oi_value_z_30d>-0.65983182&range_24h_pct>0.055619359&realized_volatility_24h>-0.25431216),5,5,location|regime,compression|open_interest|perp_tradeability|volatility,context,compression|context|open_interest|perp_tradeability|volatility
(*)|(*)|(asset_atr_level_pct<=0.43259209&carry_adj_ret_self_z_10h<=0.011815645&symbol_minus_mkt_ret_4h>-0.20293701),3,3,regime,asset_relative_return|asset_state|perp_carry,,asset_relative_return|asset_state|perp_carry
