fold_id,seed,regime_family,gain,split
0,42,asset_relative_funding,1.2219,1.0
0,42,asset_relative_return,963.2739,116.0
0,42,asset_state,851.7642,46.0
0,42,compression,783.66547,54.0
0,42,context,438.95355,25.0
0,42,cross_sectional,47.14774,6.0
0,42,crowding,1.65189,1.0
0,42,funding,478.31152,71.0
0,42,liquidity,121.87208,24.0
0,42,momentum,87.77391,10.0
0,42,open_interest,2920.2307,348.0
0,42,orderbook,69.02673,12.0
0,42,path_structure,501.1293,56.0
0,42,perp_carry,462.96356,41.0
0,42,perp_tradeability,2154.0024,228.0
0,42,residual,2228.5005,239.0
0,42,trend,182.05537,24.0
0,42,volatility,531.29333,58.0
0,42,volatility_term_structure,126.17344,17.0
1,42,asset_relative_return,483.88638,46.0
1,42,asset_state,534.6737,21.0
1,42,compression,341.40985,20.0
1,42,context,73.32832,7.0
1,42,cross_sectional,13.98683,2.0
1,42,funding,56.15076,6.0
1,42,liquidity,19.664114,6.0
1,42,open_interest,714.8176,67.0
1,42,path_structure,291.9996,17.0
1,42,perp_carry,106.2599,8.0
1,42,perp_tradeability,1233.4752,85.0
1,42,residual,746.9352,54.0
1,42,trend,160.76614,10.0
1,42,volatility,341.38855,21.0
1,42,volatility_term_structure,129.2763,12.0
2,42,asset_relative_funding,8.031757,4.0
2,42,asset_relative_return,1286.7831,149.0
2,42,asset_state,565.5751,32.0
2,42,compression,527.41016,51.0
2,42,context,159.89929,16.0
2,42,cross_sectional,17.72894,2.0
2,42,crowding,2.927491,2.0
2,42,funding,112.75436,22.0
2,42,liquidity,93.3009,19.0
2,42,momentum,20.030762,6.0
2,42,open_interest,1358.6725,194.0
2,42,orderbook,40.932842,9.0
2,42,path_structure,303.40796,37.0
2,42,perp_carry,133.02994,15.0
2,42,perp_tradeability,2383.681,201.0
2,42,residual,1537.363,186.0
2,42,trend,225.07504,28.0
2,42,volatility,487.65482,55.0
2,42,volatility_term_structure,98.86717,14.0
3,42,asset_relative_funding,47.779556,18.0
3,42,asset_relative_return,2164.1035,424.0
3,42,asset_state,494.54803,77.0
3,42,compression,847.4167,163.0
3,42,context,285.2555,55.0
3,42,cross_sectional,77.27733,18.0
3,42,crowding,13.304863,6.0
3,42,funding,404.08734,142.0
3,42,liquidity,408.77725,127.0
3,42,momentum,120.982864,42.0
3,42,open_interest,4844.059,1191.0
3,42,orderbook,186.82962,36.0
3,42,path_structure,642.03735,153.0
3,42,perp_carry,353.6992,62.0
3,42,perp_tradeability,4063.9187,639.0
3,42,residual,3870.17,846.0
3,42,trend,476.19,103.0
3,42,volatility,863.4304,188.0
3,42,volatility_term_structure,286.53186,80.0
