fold_id,seed,group,gain,split
0,42,location,3285.7756,288.0
0,42,regime,12951.012,1377.0
1,42,location,1499.24,90.0
1,42,regime,5248.0186,382.0
2,42,location,3048.9092,252.0
2,42,regime,9363.126,1042.0
3,42,location,5076.4766,923.0
3,42,regime,20450.398,4370.0
