fold_id,target_mean,target_std,target_p1,target_p50,target_p99
0,-0.0133605115,0.40952104,-0.8095328,-0.037302744,0.8888134
1,-0.000938465,0.3940693,-0.7943932,-0.01521549,0.87418735
