fold_id,seed,regime_family,gain,split
0,42,compression,36.192806,25.0
0,42,context,24.092842,14.0
0,42,liquidity,129.95651,57.0
0,42,momentum,16.568605,9.0
0,42,path_structure,73.01449,38.0
0,42,trend,19.754185,16.0
0,42,volatility,64.903946,31.0
0,42,volatility_term_structure,79.109726,36.0
1,42,compression,19.731112,10.0
1,42,context,2.893762,3.0
1,42,liquidity,57.69553,22.0
1,42,momentum,14.601637,7.0
1,42,path_structure,50.69981,26.0
1,42,trend,10.26103,6.0
1,42,volatility,40.610783,16.0
1,42,volatility_term_structure,39.08476,17.0
