stage_order,stage_name,gate_name,metric_name,threshold,input_count,rejected_count,passed_count
1,scorer,below_hurdle,hurdle_excess,> 0,319,0,31
1,scorer,low_support,min_support_actual,>= 10,319,275,31
1,scorer,non_positive_directional_ret,directional_mean_ret,> 0,319,0,31
2,pruner,is_too_broad,mean_support_pct,<= 0.2200,31,3,28
2,pruner,is_too_narrow,mean_support_pct,>= 0.0500,31,0,28
3,mask_assessor,insufficient_baseline_oof_coverage,baseline_oof_coverage,>= 0.2500,28,0,0
3,mask_assessor,insufficient_subset_oof_coverage,subset_oof_coverage,>= 0.2500,28,2,0
3,mask_assessor,low_lift,learn_eff_ratio,>= 1.1000,28,0,0
3,mask_assessor,low_sign_consistency,sign_consistency,>= 0.0000,28,0,0
3,mask_assessor,low_trades_per_day,avg_trades_per_day,>= 0.1000,28,0,0
3,mask_assessor,missing_learnability,learn_eff_ratio,must be finite,28,0,0
3,mask_assessor,not_assessed_min_mask_support,mask_support_count,>= 20 rows,28,26,0
