regime_family,generated_booleans,retained,dropped
compression,54,0,54
context,36,0,36
liquidity,72,0,72
momentum,18,0,18
path_structure,54,0,54
trend,198,0,198
volatility,144,0,144
volatility_term_structure,72,0,72
