fold_id,seed,group,used_feature_count,split_count
0,42,location,40,941
0,42,regime,36,1246
1,42,location,40,925
1,42,regime,36,1155
2,42,location,40,1115
2,42,regime,36,1393
3,42,location,38,191
3,42,regime,35,227
