canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(*)|(ema20_slope_5h>0.13529618&range_24h_pct<=0.066120759&realized_volatility_24h<=-0.41466755&volume_zscore_48h>-0.41082159),4,4,regime,compression|liquidity|trend|volatility,,compression|liquidity|trend|volatility
(*)|(dist_rolling_7d_high<=0.26168549)|(prior_volatility<=0.17390829&range_24h_pct>0.066120759),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_prior_day_high<=0.035852443&dist_rolling_7d_high<=0.26168549)|(prior_volatility>0.17390829&range_24h_pct>0.066120759),4,4,location|regime,compression|context,context,compression|context
(*)|(dist_prior_day_high>0.035852443&dist_rolling_7d_high<=0.26168549)|(prior_volatility>0.17390829&range_24h_pct>0.066120759),4,4,location|regime,compression|context,context,compression|context
(*)|(dist_rolling_7d_high>0.26168549)|(range_24h_pct>0.066120759),2,2,location|regime,compression,context,compression|context
(*)|(*)|(range_24h_pct<=0.036860347&rolling_range_20>-0.7088514),2,2,regime,compression,,compression
(*)|(loc_swing_range_pos_24<=0.357142)|(range_24h_pct>0.036860347&realized_volatility_24h<=-0.49204886),3,3,location|regime,compression|volatility,context,compression|context|volatility
(*)|(loc_prior_bar_pos_24<=-0.48106921)|(range_24h_pct<=0.099851608&range_24h_pct>0.051106453&realized_volatility_24h>-0.49204886),4,4,location|regime,compression|volatility,context,compression|context|volatility
(*)|(dist_vwap_atr>0.020697696&loc_prior_bar_pos_24>-0.48106921)|(range_24h_pct<=0.099851608&range_24h_pct>0.051106453&realized_volatility_24h>-0.49204886),5,5,location|regime,compression|volatility,context,compression|context|volatility
(*)|(*)|(ema50_slope<=-0.060441472&range_24h_pct>0.099851608&realized_volatility_24h>-0.49204886),3,3,regime,compression|trend|volatility,,compression|trend|volatility
(*)|(loc_prev_day_range_pos_24<=0.8027879&zscore_price_50>-0.81520194)|(ema50_slope<=0.090819716&range_24h_pct<=0.070893288&range_expansion_ratio<=-0.085133605),5,5,location|regime,compression|trend|volatility_term_structure,context,compression|context|trend|volatility_term_structure
(*)|(loc_prev_day_range_pos_24<=0.8027879&zscore_price_50>-0.81520194)|(ema50_slope>0.090819716&range_24h_pct<=0.070893288&range_expansion_ratio<=-0.085133605),5,5,location|regime,compression|trend|volatility_term_structure,context,compression|context|trend|volatility_term_structure
(*)|(bars_in_high_vol_state_log_norm<=0.70819962&loc_bb_channel_pos_48<=0.42024255)|(range_24h_pct>0.070893288),3,3,location|regime,compression,compression|context,compression|context
(*)|(bars_in_high_vol_state_log_norm>0.70819962&loc_bb_channel_pos_48<=0.42024255)|(range_24h_pct>0.070893288),3,3,location|regime,compression,compression|context,compression|context
(*)|(loc_bb_channel_pos_48>0.42024255&loc_prev_day_range_pos_24>0.72616589)|(range_24h_pct>0.070893288),3,3,location|regime,compression,compression|context,compression|context
(*)|(dist_ema200_atr>0.0039422219)|(ema_slope_norm<=0.069754638&prior_range<=-0.0070164115&range_24h_pct<=0.065704256),4,4,location|regime,compression|context|trend,context,compression|context|trend
(*)|(dist_ma100_atr<=-0.007927658&loc_prior_bar_pos_48<=0.16666512)|(prior_range<=0.63117033&range_24h_pct>0.065704256),4,4,location|regime,compression|context,context,compression|context
(*)|(*)|(prior_range>0.63117033&range_24h_pct>0.065704256&up_down_semivol_ratio_tanh<=-0.23994513),3,3,regime,compression|context|path_structure,,compression|context|path_structure
(*)|(*)|(prior_range>0.63117033&range_24h_pct>0.065704256&up_down_semivol_ratio_tanh>-0.23994513),3,3,regime,compression|context|path_structure,,compression|context|path_structure
(*)|(dist_prior_day_high<=0.046415899&dist_prior_day_low<=0.040082637&pullback_depth>0.6895355)|(prior_volatility<=-0.017497977),4,4,location|regime,context,context,context
(*)|(dist_rolling_7d_high<=0.20285486&zscore_price_200>-0.38992602)|(prior_volatility>-0.017497977&return_autocorr_48<=-0.50473076),4,4,location|regime,context|momentum,context,context|momentum
(*)|(dist_rolling_7d_high<=0.20285486&zscore_price_200>-0.38992602)|(prior_volatility>-0.017497977&return_autocorr_48<=0.30297205&return_autocorr_48>-0.50473076),5,5,location|regime,context|momentum,context,context|momentum
(*)|(dist_rolling_7d_high>0.20285486&loc_session_pos_48<=0.43589672)|(prior_volatility>-0.017497977),3,3,location|regime,context,context,context
(*)|(dist_rolling_7d_high>0.20285486&loc_session_pos_48>0.43589672)|(prior_volatility>-0.017497977),3,3,location|regime,context,context,context
(*)|(*)|(range_24h_pct<=0.068729788&range_24h_pct>0.037179291&tail_asymmetry_q90_q10_atr_norm>0.60296237&volume_zscore_48h<=0.081529312),4,4,regime,compression|liquidity|path_structure,,compression|liquidity|path_structure
(*)|(loc_ema_stack_pos_48<=0.25638697)|(amihud_illiq<=0.16751918&range_24h_pct>0.068729788),3,3,location|regime,compression|liquidity,trend,compression|liquidity|trend
