pair,symbol,ts,column,live_value,reference_value,abs_diff,rel_diff_bps
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T00:00:00+00:00,open,0.25022000074386597,0.25029000639915466,7.000565528869629e-05,2.7969816412507282
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T06:00:00+00:00,open,0.27842000126838684,0.2783699929714203,5.0008296966552734e-05,1.7964686650578388
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T12:00:00+00:00,open,0.2680400013923645,0.26809000968933105,5.0008296966552734e-05,1.865354737556372
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-04T01:00:00+00:00,high,0.2526099979877472,0.24849000573158264,0.004119992256164551,165.8011252418313
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T12:00:00+00:00,high,0.2702600061893463,0.26809000968933105,0.002169996500015259,80.94283343605012
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T05:00:00+00:00,high,0.2792400121688843,0.27748000621795654,0.0017600059509277344,63.42820785239839
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T17:00:00+00:00,high,0.28213000297546387,0.2805899977684021,0.0015400052070617676,54.88453684414232
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T06:00:00+00:00,high,0.2797999978065491,0.2783699929714203,0.0014300048351287842,51.37065313198467
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T12:00:00+00:00,high,0.28001999855041504,0.2786000072956085,0.0014199912548065186,50.968816138609675
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T22:00:00+00:00,high,0.251910001039505,0.2505199909210205,0.001390010118484497,55.4849979586146
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-13T18:00:00+00:00,high,0.26583999395370483,0.26475000381469727,0.0010899901390075684,41.17054290093494
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T16:00:00+00:00,high,0.28279998898506165,0.28178998827934265,0.0010100007057189941,35.84232044176691
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T13:00:00+00:00,high,0.28088998794555664,0.2799600064754486,0.0009299814701080322,33.21836864543679
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T11:00:00+00:00,high,0.2801100015640259,0.2793099880218506,0.000800013542175293,28.64249674138783
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T19:00:00+00:00,high,0.28108999133110046,0.2803399860858917,0.0007500052452087402,26.753416652412565
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T20:00:00+00:00,high,0.25165998935699463,0.25095000863075256,0.0007099807262420654,28.291719538720155
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T19:00:00+00:00,high,0.2513200044631958,0.2506600022315979,0.0006600022315979004,26.33057630742737
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T12:00:00+00:00,high,0.25095000863075256,0.25036001205444336,0.0005899965763092041,23.56592698121868
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T21:00:00+00:00,high,0.28174999356269836,0.28130000829696655,0.0004499852657318115,15.996631797350148
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T11:00:00+00:00,high,0.26842001080513,0.2680700123310089,0.00034999847412109375,13.056233745717174
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T10:00:00+00:00,high,0.26767000555992126,0.2673400044441223,0.0003300011157989502,12.34387335651911
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T23:00:00+00:00,high,0.2806900143623352,0.28036001324653625,0.0003300011157989502,11.77061992463104
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T09:00:00+00:00,high,0.2680000066757202,0.2676999866962433,0.0003000199794769287,11.207321419009206
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T20:00:00+00:00,high,0.28169000148773193,0.28141000866889954,0.00027999281883239746,9.949639679014775
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T00:00:00+00:00,high,0.25053998827934265,0.25029000639915466,0.0002499818801879883,9.987689232358923
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T08:00:00+00:00,high,0.2688100039958954,0.2685999870300293,0.00021001696586608887,7.818949218437941
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T14:00:00+00:00,high,0.28189998865127563,0.2817299962043762,0.00016999244689941406,6.033878152473901
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-05T18:00:00+00:00,high,0.25885000824928284,0.258789986371994,6.002187728881836e-05,2.319327657544707
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-01T18:00:00+00:00,high,0.25029000639915466,0.2502399981021881,5.0008296966552734e-05,1.9984134169522862
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T14:00:00+00:00,low,0.2779099941253662,0.28148001432418823,0.0035700201988220215,126.83032603196942
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T20:00:00+00:00,low,0.2791300117969513,0.28141000866889954,0.002279996871948242,81.0204613095632
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T10:00:00+00:00,low,0.26568999886512756,0.26725998520851135,0.001569986343383789,58.74378621097784
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T22:00:00+00:00,low,0.2800599932670593,0.28158000111579895,0.001520007848739624,53.9813851380207
