pair,symbol,live_rows,reference_rows,live_first,live_last,reference_first,reference_last,overlap_rows,first_overlap_ts,last_overlap_ts,open_max_abs_diff,open_mean_abs_diff,open_mismatch_count_gt_1e-9,open_mismatch_count_gt_tol,high_max_abs_diff,high_mean_abs_diff,high_mismatch_count_gt_1e-9,high_mismatch_count_gt_tol,low_max_abs_diff,low_mean_abs_diff,low_mismatch_count_gt_1e-9,low_mismatch_count_gt_tol,close_max_abs_diff,close_mean_abs_diff,close_mismatch_count_gt_1e-9,close_mismatch_count_gt_tol,volume_max_abs_diff,volume_mean_abs_diff,volume_mismatch_count_gt_1e-9,volume_mismatch_count_gt_tol,exact_rows_within_tol,mismatch_rows_gt_tol,price_mismatch_rows_gt_tol,volume_mismatch_rows_gt_tol,_mismatch_examples_ref
hourly_live_vs_execution_1m_aggregate,1INCH/USD:USD,688,53,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-02T21:00:00+00:00,2026-05-15T09:00:00+00:00,53,2026-05-02T21:00:00+00:00,2026-05-15T09:00:00+00:00,0.000550001859664917,1.2075423069719998e-05,2.0,2.0,0.0010899975895881653,0.00010113207236775811,7.0,7.0,0.0005899965763092041,2.1131955227761898e-05,4.0,4.0,0.0010899975895881653,0.00010999995020200622,9.0,9.0,11272.0,811.5094339622641,11.0,11.0,42.0,11.0,11.0,11.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,2Z/USD:USD,688,34,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-03T09:00:00+00:00,2026-05-21T03:00:00+00:00,34,2026-05-03T09:00:00+00:00,2026-05-21T03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AAPLX/USD:USD,640,0,2026-05-01T00:00:00+00:00,2026-05-28T16:00:00+00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AAVE/USD:USD,690,0,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ACE/USD:USD,639,0,2026-05-01T00:00:00+00:00,2026-05-28T16:00:00+00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,690,27,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T18:00:00+00:00,2026-05-13T18:00:00+00:00,27,2026-05-01T18:00:00+00:00,2026-05-13T18:00:00+00:00,0.001359984278678894,0.0004959255456924438,27.0,27.0,0.004119992256164551,0.0008574072961454038,26.0,26.0,0.0035700201988220215,0.0009348166209680063,27.0,27.0,0.003569990396499634,0.0006837050120035807,27.0,27.0,1549559.0,401216.85185185185,27.0,27.0,0.0,27.0,27.0,27.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AEVO/USD:USD,691,65,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T20:00:00+00:00,2026-05-21T23:00:00+00:00,65,2026-05-01T20:00:00+00:00,2026-05-21T23:00:00+00:00,0.002720000222325325,4.261540105709663e-05,2.0,2.0,0.002720000222325325,7.969229840315305e-05,5.0,5.0,0.0002699997276067734,7.384642958641052e-06,5.0,5.0,0.001199999824166298,4.092305898666382e-05,7.0,7.0,42664.0,2020.8615384615384,10.0,10.0,55.0,10.0,10.0,10.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AGLD/USD:USD,639,0,2026-05-01T00:00:00+00:00,2026-05-28T16:00:00+00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AIXBT/USD:USD,691,29,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-04T08:00:00+00:00,2026-05-21T20:00:00+00:00,29,2026-05-04T08:00:00+00:00,2026-05-21T20:00:00+00:00,0.0001500006765127182,1.8965517138612683e-05,7.0,7.0,0.0021100006997585297,0.0002641380475512866,15.0,15.0,0.0011199992150068283,8.689650687678107e-05,13.0,13.0,0.0012400001287460327,0.00016793101255236002,19.0,19.0,439535.0,62347.48275862069,20.0,20.0,9.0,20.0,20.0,20.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AKT/USD:USD,688,31,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T13:00:00+00:00,2026-05-21T15:00:00+00:00,31,2026-05-01T13:00:00+00:00,2026-05-21T15:00:00+00:00,0.013799965381622314,0.0014677413048282747,5.0,5.0,0.025700032711029053,0.0038354819820773218,10.0,10.0,0.025099992752075195,0.0023451582078010806,10.0,10.0,0.025099992752075195,0.004177420370040401,14.0,14.0,11561.0,925.1612903225806,14.0,14.0,17.0,14.0,14.0,14.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ALCH/USD:USD,693,35,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T09:00:00+00:00,2026-05-21T12:00:00+00:00,35,2026-05-01T09:00:00+00:00,2026-05-21T12:00:00+00:00,0.00016999989748001099,4.857139928000314e-06,1.0,1.0,0.004670001566410065,0.0002894288727215358,5.0,5.0,0.002499997615814209,0.00034800001553126746,10.0,10.0,0.004670001566410065,0.0005614289215632848,14.0,14.0,47028.0,3471.057142857143,14.0,14.0,21.0,14.0,14.0,14.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ALEO/USD:USD,640,0,2026-05-01T00:00:00+00:00,2026-05-29T15:00:00+00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ALGO/USD:USD,693,5,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-06T02:00:00+00:00,2026-05-14T22:00:00+00:00,5,2026-05-06T02:00:00+00:00,2026-05-14T22:00:00+00:00,0.0006299987435340881,0.0001819998025894165,4.0,4.0,0.0011299997568130493,0.0005539983510971069,5.0,5.0,0.0008200034499168396,0.0004980027675628662,5.0,5.0,0.0009399950504302979,0.000595998764038086,5.0,5.0,330997.0,91165.4,5.0,5.0,0.0,5.0,5.0,5.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ALICE/USD:USD,690,27,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-06T09:00:00+00:00,2026-05-21T05:00:00+00:00,27,2026-05-06T09:00:00+00:00,2026-05-21T05:00:00+00:00,0.003900006413459778,0.00021111137337154813,2.0,2.0,0.003900006413459778,0.00026296299916726574,2.0,2.0,0.0018000006675720215,0.00016666617658403184,5.0,5.0,0.0031999945640563965,0.0002037032886787697,5.0,5.0,3701.0,482.74074074074076,7.0,7.0,20.0,7.0,7.0,7.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ALT/USD:USD,693,65,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-03T01:00:00+00:00,2026-05-21T23:00:00+00:00,65,2026-05-03T01:00:00+00:00,2026-05-21T23:00:00+00:00,2.9999762773513794e-05,7.692294625135568e-07,2.0,2.0,0.0001600002869963646,1.1999998241662979e-05,12.0,12.0,0.0002200002782046795,1.2461525889543387e-05,8.0,8.0,0.0002000001259148121,1.999998751741189e-05,18.0,18.0,455132.0,24905.23076923077,20.0,20.0,45.0,20.0,19.0,20.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ANIME/USD:USD,688,46,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-03T10:00:00+00:00,2026-05-11T18:00:00+00:00,46,2026-05-03T10:00:00+00:00,2026-05-11T18:00:00+00:00,4.9999915063381195e-05,1.0869546752908956e-06,1.0,1.0,0.0001300000585615635,6.739131134489308e-06,4.0,4.0,5.9999991208314896e-05,1.3043476349633674e-06,1.0,1.0,0.0001300000585615635,8.043478769452676e-06,5.0,5.0,272093.0,8337.91304347826,5.0,5.0,41.0,5.0,5.0,5.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ANKR/USD:USD,688,26,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-04T20:00:00+00:00,2026-05-15T09:00:00+00:00,26,2026-05-04T20:00:00+00:00,2026-05-15T09:00:00+00:00,0.0,0.0,0.0,0.0,4.800036549568176e-05,3.3846232466972792e-06,2.0,2.0,6.499979645013809e-05,2.4999921711591574e-06,1.0,1.0,6.499979645013809e-05,5.8846154178564366e-06,3.0,3.0,61161.0,2412.6923076923076,3.0,3.0,23.0,3.0,3.0,3.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,APE/USD:USD,690,7,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T19:00:00+00:00,2026-05-14T03:00:00+00:00,7,2026-05-01T19:00:00+00:00,2026-05-14T03:00:00+00:00,0.002199992537498474,0.0006571390799113683,6.0,6.0,0.005500003695487976,0.002300000616482326,6.0,6.0,0.003800004720687866,0.0014571419784000941,6.0,6.0,0.0031000077724456787,0.001585715583392552,7.0,7.0,399105.0,192709.14285714287,7.0,7.0,0.0,7.0,7.0,7.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,API3/USD:USD,691,23,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T12:00:00+00:00,2026-05-14T21:00:00+00:00,23,2026-05-01T12:00:00+00:00,2026-05-14T21:00:00+00:00,0.0021999776363372803,0.0002826076486836309,5.0,5.0,0.007899999618530273,0.0008913045344145402,7.0,7.0,0.009199976921081543,0.001217391179955524,8.0,8.0,0.007999986410140991,0.0018565214198568592,12.0,12.0,6370.0,1084.8695652173913,13.0,13.0,10.0,13.0,13.0,13.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,APT/USD:USD,690,19,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-08T16:00:00+00:00,2026-05-15T18:00:00+00:00,19,2026-05-08T16:00:00+00:00,2026-05-15T18:00:00+00:00,0.0054000020027160645,0.0014947339108115749,18.0,18.0,0.008499979972839355,0.0030263191775271765,18.0,18.0,0.03709995746612549,0.006842105012190969,18.0,18.0,0.03549998998641968,0.006594748873459666,19.0,19.0,32969.19921875,7711.852595881412,19.0,19.0,0.0,19.0,19.0,19.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AR/USD:USD,693,20,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T09:00:00+00:00,2026-05-21T11:00:00+00:00,20,2026-05-01T09:00:00+00:00,2026-05-21T11:00:00+00:00,0.04399991035461426,0.0029499948024749754,2.0,2.0,0.026000022888183594,0.0022000014781951905,3.0,3.0,0.05800008773803711,0.006099998950958252,4.0,4.0,0.04999995231628418,0.004450005292892456,4.0,4.0,842.4600219726562,107.55300254821778,5.0,5.0,15.0,5.0,5.0,5.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ARB/USD:USD,690,33,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-04T06:00:00+00:00,2026-05-21T14:00:00+00:00,33,2026-05-04T06:00:00+00:00,2026-05-21T14:00:00+00:00,0.0015999972820281982,0.000348485554709579,30.0,30.0,0.002499997615814209,0.00069696998054331,31.0,31.0,0.0015999972820281982,0.0005545455849531925,30.0,30.0,0.0023000091314315796,0.0006181812196066885,31.0,31.0,1152866.0,221278.0909090909,33.0,33.0,0.0,33.0,33.0,33.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ARC/USD:USD,691,34,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T04:00:00+00:00,2026-05-15T15:00:00+00:00,34,2026-05-01T04:00:00+00:00,2026-05-15T15:00:00+00:00,0.0022699981927871704,0.00012794137001037598,4.0,4.0,0.0031500011682510376,0.0003085290903554243,8.0,8.0,0.004079997539520264,0.00039588243645780226,10.0,10.0,0.004069998860359192,0.0006214701296652065,16.0,16.0,118566.0,15495.176470588236,17.0,17.0,17.0,17.0,17.0,17.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ARKM/USD:USD,688,66,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-03T01:00:00+00:00,2026-05-21T23:00:00+00:00,66,2026-05-03T01:00:00+00:00,2026-05-21T23:00:00+00:00,0.0009000003337860107,1.5151545856938217e-05,2.0,2.0,0.0009000003337860107,1.5151545856938217e-05,2.0,2.0,0.0025999993085861206,8.33333893255754e-05,5.0,5.0,0.0025999993085861206,5.909100626454209e-05,5.0,5.0,1830.0,88.86363636363636,7.0,7.0,59.0,7.0,6.0,7.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ASTER/USD:USD,693,52,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T16:00:00+00:00,2026-05-21T23:00:00+00:00,52,2026-05-01T16:00:00+00:00,2026-05-21T23:00:00+00:00,0.008799970149993896,0.0007153818240532508,11.0,11.0,0.1864999532699585,0.004686534404754639,17.0,17.0,0.07540005445480347,0.004244232406983009,26.0,26.0,0.0163000226020813,0.002407692945920504,30.0,30.0,61408.0,4806.115384615385,34.0,34.0,18.0,34.0,34.0,34.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ASTR/USD:USD,690,20,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-03T11:00:00+00:00,2026-05-13T20:00:00+00:00,20,2026-05-03T11:00:00+00:00,2026-05-13T20:00:00+00:00,0.00019999966025352478,1.1499971151351929e-05,2.0,2.0,0.000260000117123127,4.399991594254971e-05,6.0,6.0,4.9999915063381195e-05,5.00003807246685e-06,3.0,3.0,0.000260000117123127,3.499994054436684e-05,5.0,5.0,160772.0,24003.75,7.0,7.0,13.0,7.0,7.0,7.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ATH/USD:USD,693,64,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T02:00:00+00:00,2026-05-21T19:00:00+00:00,64,2026-05-01T02:00:00+00:00,2026-05-21T19:00:00+00:00,0.0002000001259148121,1.1562508007045835e-05,14.0,14.0,0.0001799999736249447,1.546872954349965e-05,22.0,22.0,0.0002000001259148121,1.4375007594935596e-05,15.0,15.0,0.00011999998241662979,1.1562508007045835e-05,17.0,17.0,1289389.0,64368.90625,27.0,27.0,37.0,27.0,26.0,27.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,ATOM/USD:USD,690,25,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-06T01:00:00+00:00,2026-05-14T21:00:00+00:00,25,2026-05-06T01:00:00+00:00,2026-05-14T21:00:00+00:00,0.01699995994567871,0.0034800148010253906,22.0,22.0,0.037000060081481934,0.007519989013671875,16.0,16.0,0.034999966621398926,0.009400014877319335,23.0,23.0,0.037000060081481934,0.01071998119354248,24.0,24.0,19851.599609375,5436.9319980773325,25.0,25.0,0.0,25.0,25.0,25.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AUCTION/USD:USD,688,25,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-03T19:00:00+00:00,2026-05-15T14:00:00+00:00,25,2026-05-03T19:00:00+00:00,2026-05-15T14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AUD/USD:USD,639,0,2026-05-01T00:00:00+00:00,2026-05-28T16:00:00+00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AVAX/USD:USD,693,6,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-06T17:00:00+00:00,2026-05-21T15:00:00+00:00,6,2026-05-06T17:00:00+00:00,2026-05-21T15:00:00+00:00,0.040999412536621094,0.01616636912027995,6.0,6.0,0.10000038146972656,0.050999959309895836,6.0,6.0,0.043000221252441406,0.023000240325927734,6.0,6.0,0.07400035858154297,0.04833348592122396,6.0,6.0,8280.7197265625,5030.593234456454,6.0,6.0,0.0,6.0,6.0,6.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,AXS/USD:USD,690,29,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T18:00:00+00:00,2026-05-21T22:00:00+00:00,29,2026-05-01T18:00:00+00:00,2026-05-21T22:00:00+00:00,0.011099934577941895,0.002017230823122222,26.0,26.0,0.012400031089782715,0.003913801291893269,23.0,23.0,0.023399949073791504,0.003772410853155728,24.0,24.0,0.012400031089782715,0.004286207001784752,25.0,25.0,52696.5,3230.620678967443,28.0,28.0,1.0,28.0,28.0,28.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,B3/USD:USD,689,98,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-01T10:00:00+00:00,2026-05-21T17:00:00+00:00,98,2026-05-01T10:00:00+00:00,2026-05-21T17:00:00+00:00,7.30000901967287e-05,3.551020125421334e-06,18.0,18.0,8.700008038431406e-05,6.2755113633881725e-06,31.0,31.0,7.700000423938036e-05,6.357143153151383e-06,21.0,21.0,7.700000423938036e-05,7.0204084610794574e-06,38.0,38.0,5815646.0,460277.55102040817,43.0,43.0,55.0,43.0,42.0,43.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,BANANA/USD:USD,639,0,2026-05-01T00:00:00+00:00,2026-05-28T16:00:00+00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_execution_1m_aggregate,BAND/USD:USD,688,39,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,2026-05-07T00:00:00+00:00,2026-05-21T23:00:00+00:00,39,2026-05-07T00:00:00+00:00,2026-05-21T23:00:00+00:00,0.0,0.0,0.0,0.0,0.007800012826919556,0.00024359004619794013,2.0,2.0,0.0,0.0,0.0,0.0,0.007800012826919556,0.00024359004619794013,2.0,2.0,4000.0,129.7948717948718,2.0,2.0,37.0,2.0,2.0,2.0,hourly_live_vs_execution_1m_aggregate_mismatch_examples.csv
