symbol,live_rows,reference_rows,live_first,live_last,reference_first,reference_last,overlap_rows,first_overlap_ts,last_overlap_ts,open_max_abs_diff,open_mean_abs_diff,open_mismatch_count_gt_1e-9,high_max_abs_diff,high_mean_abs_diff,high_mismatch_count_gt_1e-9,low_max_abs_diff,low_mean_abs_diff,low_mismatch_count_gt_1e-9,close_max_abs_diff,close_mean_abs_diff,close_mismatch_count_gt_1e-9,volume_max_abs_diff,volume_mean_abs_diff,volume_mismatch_count_gt_1e-9
BTC/USD:USD,684,14,2026-05-01T00:00:00+00:00,2026-05-30T13:00:00+00:00,2026-05-01T08:00:00+00:00,2026-05-14T13:00:00+00:00,14,2026-05-01T08:00:00+00:00,2026-05-14T13:00:00+00:00,214.0,63.07142857142857,14,557.0,236.64285714285714,14,821.0,193.78571428571428,13,622.0,192.42857142857142,14,631.6640223264694,188.97572804242373,14
ETH/USD:USD,684,10,2026-05-01T00:00:00+00:00,2026-05-30T13:00:00+00:00,2026-05-03T16:00:00+00:00,2026-05-15T02:00:00+00:00,10,2026-05-03T16:00:00+00:00,2026-05-15T02:00:00+00:00,10.60009765625,2.7500732421875,9,38.39990234375,12.5000244140625,10,16.0,9.03994140625,10,35.199951171875,12.3699951171875,10,7327.329833984375,2894.2810589581727,10
AR/USD:USD,689,20,2026-05-01T00:00:00+00:00,2026-05-30T13:00:00+00:00,2026-05-01T09:00:00+00:00,2026-05-21T11:00:00+00:00,20,2026-05-01T09:00:00+00:00,2026-05-21T11:00:00+00:00,0.04399991035461426,0.0029499948024749754,2,0.026000022888183594,0.0022000014781951905,3,0.05800008773803711,0.006099998950958252,4,0.04999995231628418,0.004450005292892456,4,842.4600219726562,107.55300254821778,5
DEGEN/USD:USD,684,94,2026-05-01T00:00:00+00:00,2026-05-30T13:00:00+00:00,2026-05-01T00:00:00+00:00,2026-05-14T20:00:00+00:00,94,2026-05-01T00:00:00+00:00,2026-05-14T20:00:00+00:00,0.0001509999856352806,3.021276070478749e-06,7,0.0001509999856352806,2.670213902131357e-06,12,0.00039299996569752693,5.255318915550696e-06,10,6.399990525096655e-05,2.2021264699783098e-06,13,3606632.0,76011.1914893617,16
SOL/USD:USD,686,7,2026-05-01T00:00:00+00:00,2026-05-30T13:00:00+00:00,2026-05-04T01:00:00+00:00,2026-05-14T23:00:00+00:00,7,2026-05-04T01:00:00+00:00,2026-05-14T23:00:00+00:00,0.26000213623046875,0.13571384974888392,7,1.2299957275390625,0.4371425083705357,7,0.4199981689453125,0.2299989972795759,7,1.05999755859375,0.37428501674107145,7,40153.660469055176,12690.377326931271,7
XRP/USD:USD,686,9,2026-05-01T00:00:00+00:00,2026-05-30T13:00:00+00:00,2026-05-01T17:00:00+00:00,2026-05-21T23:00:00+00:00,9,2026-05-01T17:00:00+00:00,2026-05-21T23:00:00+00:00,0.0060999393463134766,0.001818908585442437,9,0.014680027961730957,0.0063622262742784284,9,0.0034799575805664062,0.0020688772201538086,9,0.012460112571716309,0.004608909289042155,9,2434587.0,560124.4444444445,9
HBAR/USD:USD,686,17,2026-05-01T00:00:00+00:00,2026-05-30T13:00:00+00:00,2026-05-06T05:00:00+00:00,2026-05-12T05:00:00+00:00,17,2026-05-06T05:00:00+00:00,2026-05-12T05:00:00+00:00,0.00031000375747680664,0.00010117713142843808,13,0.001230001449584961,0.00038647125749027026,14,0.0007899999618530273,0.00022117574425304637,13,0.001139998435974121,0.0003158827038372264,17,494071.0,175391.35294117648,17
NEAR/USD:USD,686,8,2026-05-01T00:00:00+00:00,2026-05-30T13:00:00+00:00,2026-05-06T02:00:00+00:00,2026-05-14T22:00:00+00:00,8,2026-05-06T02:00:00+00:00,2026-05-14T22:00:00+00:00,0.013599991798400879,0.005037486553192139,8,0.014800071716308594,0.008112505078315735,7,0.022699952125549316,0.007937490940093994,7,0.02670001983642578,0.009175017476081848,8,80217.0,27751.375,8
