pair,symbol,live_rows,reference_rows,live_first,live_last,reference_first,reference_last,overlap_rows,first_overlap_ts,last_overlap_ts,_mismatch_examples_ref
hourly_live_vs_nested_execution_1m_aggregate,1INCH/USD:USD,688,0,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,2Z/USD:USD,688,0,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,AAPLX/USD:USD,640,0,2026-05-01T00:00:00+00:00,2026-05-28T16:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,AAVE/USD:USD,690,0,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,ACE/USD:USD,639,0,2026-05-01T00:00:00+00:00,2026-05-28T16:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,ADA/USD:USD,690,0,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,AEVO/USD:USD,691,0,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,AGLD/USD:USD,639,0,2026-05-01T00:00:00+00:00,2026-05-28T16:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,AIXBT/USD:USD,691,0,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
hourly_live_vs_nested_execution_1m_aggregate,AKT/USD:USD,688,0,2026-05-01T00:00:00+00:00,2026-05-30T17:00:00+00:00,,,0,,,hourly_live_vs_nested_execution_1m_aggregate_mismatch_examples.csv
