fold_id,seed,group,gain,split
0,42,location,69.15944,86.0
0,42,regime,271.11105,227.0
1,42,location,62.010956,89.0
1,42,regime,262.2992,218.0
2,42,location,74.84815,447.0
2,42,regime,366.65387,1803.0
