stage,rows,symbols,fraction_of_prev
raw_panel,4984320,264,1.0
sliceplanner_keep_idx,285120,129,0.057203389830508475
event_frame_built,285120,129,1.0
robust_data_filter,192971,102,0.6768062570145903
