symbol,signal_bar_ts,feature,live,train,abs_diff,diff,status
SHIB/USD:USD,2026-06-04 11:00:00+00:00,abs_ret_per_oi_z_24h,,0.4668697714805603,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,accel_5h,,1.1100654602050781,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,adx_10,,4.091394901275635,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,adx_di_minus_7,,3.919503927230835,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,adx_di_plus_14,,2.3197426795959473,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,atr_change_rate,,2.053748846054077,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,atr_compression_ratio,,2.053748846054077,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,atr_expansion,,1.5037559270858765,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,atr_pct_change,,1.524253010749817,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,atr_percentile,,0.8060035705566406,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,bars_in_high_vol_state_log_norm,,2.053748846054077,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,body_pct,,2.053748846054077,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,body_ratio,,-2.053748846054077,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,breakout_24h,,-48.236083984375,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,breakout_min,,0.0,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,carry_adj_short_ret_self_z_10h,,2.053748846054077,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,climax_range_12,,-0.8656002879142761,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,climax_range_24,,-0.37902751564979553,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,climax_vol_12,,-0.08759123086929321,,,live_nan
SHIB/USD:USD,2026-06-04 11:00:00+00:00,clv_pullback,,-0.46601617336273193,,,live_nan
