symbol,side,strategy_id,base_pred_live,base_pred_recomputed,base_abs_delta,meta_pred_live,meta_pred_recomputed,meta_abs_delta,policy_rank_pct_live,policy_rank_pct_recomputed,policy_rank_abs_delta,auction_rank_pct_live,auction_rank_pct_recomputed,auction_rank_abs_delta,normalized_rank_live,normalized_rank_recomputed,normalized_rank_abs_delta,policy_rank_n,auction_rank_n
TLM/USD:USD,long,bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,0.47469480851658186,0.47469480851658186,0.0,0.5480942763499574,0.5480942763499574,0.0,0.13038548752834467,0.13038548752834467,0.0,0.4161064769381747,0.4161064769381747,0.0,0.4161064769381747,0.4161064769381747,0.0,32634,244560
SYN/USD:USD,short,asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,0.5075787982141294,0.5075787982141294,0.0,0.40123826657990647,0.40123826657990647,0.0,0.18735389487972248,0.18735389487972248,0.0,0.22067795224075892,0.22067795224075892,0.0,0.22067795224075892,0.22067795224075892,0.0,26522,244560
ZRO/USD:USD,short,asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,0.4291216030081123,0.4291216030081123,0.0,0.11206620226507348,0.11206620226507348,0.0,0.00011311364150516553,0.00011311364150516553,0.0,0.002645567549885509,0.002645567549885509,0.0,0.002645567549885509,0.002645567549885509,0.0,26522,244560
WLD/USD:USD,short,bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,0.45641201960784045,0.45641201960784045,0.0,0.5352465172023039,0.5352465172023039,0.0,0.641170954458352,0.641170954458352,0.0,0.4004988550866863,0.4004988550866863,0.0,0.4004988550866863,0.4004988550866863,0.0,24527,244560
