short_head,head,side,strategy_id,horizon,n_periods,mean_ic,median_ic,std_ic,positive_frac,weighted_mean_ic,mean_period_hit,mean_top10_hit
long_efficiency_ratio_20_-0_61577541_up_down_return_mass_ratio_tanh_0_35100961,long_efficiency_ratio_20_-0_61577541_up_down_return_mass_ratio_tanh_0_35100961,long,efficiency_ratio_20_-0_61577541_up_down_return_mass_ratio_tanh_0_35100961,10,81,0.05893828125259687,0.058173047740412834,0.16183564896174624,0.5925925925925926,,0.4834074147709893,0.5342445620223398
long_dist_funding_pressure_price_12h_atr_0_29706532_pullback_depth_1_1069927_f,long_dist_funding_pressure_price_12h_atr_0_29706532_pullback_depth_1_1069927_fund_abs_z_mkt_resid_0_20359418_price_rv_10d_robust_z_0_16489652_variance_ratio_10_48_1_6172435,long,dist_funding_pressure_price_12h_atr_0_29706532_pullback_depth_1_1069927_fund_abs_z_mkt_resid_0_20359418_price_rv_10d_robust_z_0_16489652_variance_ratio_10_48_1_6172435,10,89,0.058222362812338876,0.07845264385715764,0.1731187992920609,0.6292134831460674,0.06156198712929177,0.49601426949013705,0.5492643124665596
long_bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_0131600,long_bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_01316009_prior_volatility_-0_74141055,long,bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_01316009_prior_volatility_-0_74141055,5,87,0.055188788048669786,0.04768335948069584,0.1916399732200237,0.5402298850574713,,0.5058651280426467,0.49469311021035167
long_pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_2961309,long_pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_29613096,long,pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_29613096,5,74,0.05391980194932438,0.02551382931425844,0.16569163231131623,0.5405405405405406,0.03991970981328279,0.498260138712469,0.5715757965757966
long_dist_funding_pressure_price_12h_atr_0_69190937_asset_minus_mkt_oi_1d_peer,long_dist_funding_pressure_price_12h_atr_0_69190937_asset_minus_mkt_oi_1d_peer_resid_0_27076384_volume_price_corr_ts_resid_-1_2299825,long,dist_funding_pressure_price_12h_atr_0_69190937_asset_minus_mkt_oi_1d_peer_resid_0_27076384_volume_price_corr_ts_resid_-1_2299825,5,102,0.0515469921985771,0.06810573528929594,0.19088741588144653,0.5980392156862745,,0.4644248531626646,0.49933473389355737
short_loc_swing_range_pos_48_1_4057727_compression_score_1_0095602,short_loc_swing_range_pos_48_1_4057727_compression_score_1_0095602,short,loc_swing_range_pos_48_1_4057727_compression_score_1_0095602,5,100,0.05057473566077424,0.08272481081020673,0.18346531324131304,0.6,,0.48292926039377393,0.5021666666666667
long_amihud_illiq_1_6657294,long_amihud_illiq_1_6657294,long,amihud_illiq_1_6657294,5,100,0.048863432953802875,0.04641528706132987,0.186899105487856,0.51,,0.45533279993899567,0.498702380952381
short_loc_ema_stack_pos_24_0_82704198_oi_value_log_1d_robust_z_-0_75701135_pri,short_loc_ema_stack_pos_24_0_82704198_oi_value_log_1d_robust_z_-0_75701135_price_trend_7d_vol_norm_-0_087766461_up_down_semivol_ratio_tanh_-0_73366904,short,loc_ema_stack_pos_24_0_82704198_oi_value_log_1d_robust_z_-0_75701135_price_trend_7d_vol_norm_-0_087766461_up_down_semivol_ratio_tanh_-0_73366904,5,82,0.0482101231253071,0.05821716286536589,0.17722765850497202,0.5609756097560976,,0.48526806944981055,0.5316056910569105
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,long,asset_vol_level_pct_0_20587213_compression_score_-0_99787366,5,100,0.0476197867109927,0.03630011753586286,0.20363020247922672,0.54,,0.5212891748666363,0.529690476190476
long_dist_ema200_atr_-0_1483798_dist_rolling_7d_high_0_21305346,long_dist_ema200_atr_-0_1483798_dist_rolling_7d_high_0_21305346,long,dist_ema200_atr_-0_1483798_dist_rolling_7d_high_0_21305346,5,60,0.046930016331248256,0.05564626029037891,0.13287080379223756,0.6,,0.49806106342064244,0.5024729926935809
