short_head,head,side,strategy_id,horizon,n,base_rate,pred_mean,pred_std,auc,pr_auc,brier,bss,logloss,ic_bin_spearman,ic_ret_spearman,hit10,lift10,mean_ret10,hit20,lift20,mean_ret20,hit30,lift30,mean_ret30
short_dist_prior_day_high_0_038048483_dist_rolling_7d_high_0_16486499_bollinge,short_dist_prior_day_high_0_038048483_dist_rolling_7d_high_0_16486499_bollinger_band_width_0_0096517922,short,dist_prior_day_high_0_038048483_dist_rolling_7d_high_0_16486499_bollinger_band_width_0_0096517922,10,4000,0.48125,0.5266442561924334,0.033314854673263075,0.5285748083242058,0.49893959217882866,0.2501951229966603,-0.0021898214230171575,0.6935325326182856,0.08787324865116117,0.06161138781861671,0.6,1.2467532467532467,0.010047972130087745,0.5675,1.1792207792207792,0.008306293418636234,0.5483333333333333,1.1393939393939394,0.008278640894593119
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_buil,long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,long,dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,5,4000,0.4775,0.5228706438785424,0.038254952801978506,0.5215942283123325,0.4974455231798618,0.2502043332508093,-0.002848100406560583,0.693494574398841,0.06688025184714995,0.05782744768827977,0.5825,1.2198952879581153,0.004353673867677217,0.5475,1.1465968586387434,0.0038348039518033518,0.5116666666666667,1.0715532286212917,0.002965540785457023
long_amihud_illiq_1_6657294,long_amihud_illiq_1_6657294,long,amihud_illiq_1_6657294,5,4000,0.46075,0.5241816195318235,0.04076489242070041,0.5216650051781593,0.4817763940353291,0.2508738466431006,-0.009717518349853682,0.6948335059307658,0.06592416077965875,0.05460046578058826,0.5575,1.2099837221920782,0.007177272975027003,0.52375,1.136733586543679,0.006991341211546459,0.4825,1.047205642973413,0.0051755521702410425
long_pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_2961309,long_pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_29613096,long,pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_29613096,5,4000,0.51075,0.5441937350270029,0.04543517876360462,0.5192060029748751,0.5272982945873536,0.2495790196703647,0.0012222362972696965,0.6922451454978852,0.05998213126721874,0.016877427692000114,0.5975,1.1698482623592756,0.005678696203511549,0.55375,1.0841899167890356,0.005647558228909062,0.5416666666666666,1.0605318975363027,0.005528250704380923
long_dist_funding_pressure_price_12h_atr_0_69190937_asset_minus_mkt_oi_1d_peer,long_dist_funding_pressure_price_12h_atr_0_69190937_asset_minus_mkt_oi_1d_peer_resid_0_27076384_volume_price_corr_ts_resid_-1_2299825,long,dist_funding_pressure_price_12h_atr_0_69190937_asset_minus_mkt_oi_1d_peer_resid_0_27076384_volume_price_corr_ts_resid_-1_2299825,5,4000,0.47225,0.5172001183285017,0.045412945210122804,0.5143871911455261,0.4871196160468267,0.24992778375135227,-0.0028000097353966247,0.692919104131288,0.04436985101299006,0.030131793724143437,0.55,1.1646373742721017,0.00441932128886257,0.5225,1.1064055055584965,0.003912899339123121,0.4975,1.053467443091583,0.0031000171982060102
long_asset_funding_z_-0_46231303_asset_minus_mkt_oi_1d_peer_resid_-0_13293807_,long_asset_funding_z_-0_46231303_asset_minus_mkt_oi_1d_peer_resid_-0_13293807_compression_score_1_5446399_oi_value_z_90d_0_23918504,long,asset_funding_z_-0_46231303_asset_minus_mkt_oi_1d_peer_resid_-0_13293807_compression_score_1_5446399_oi_value_z_90d_0_23918504,5,4000,0.50475,0.5244587347943545,0.04063083678851211,0.5209255135275959,0.5202742515712692,0.24940874628688206,0.002274970168529511,0.6919789477706124,0.06530217794404986,0.06706720991141495,0.5875,1.1639425458147596,0.005165976374707403,0.55875,1.1069836552748884,0.004563908914120378,0.555,1.099554234769688,0.004598265966138073
long_price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24,long_price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24h_pct_0_07499177,long,price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24h_pct_0_07499177,10,4000,0.5125,0.5457086141237565,0.046880417182768815,0.5145893683552221,0.5211391604943176,0.25112834230871095,-0.005141582724046412,0.6956839163603676,0.04577963420021257,0.04189291025422635,0.595,1.1609756097560977,0.006117545951285428,0.51875,1.0121951219512197,0.004002790633040793,0.54,1.0536585365853661,0.004936114410796133
short_pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_l,short_pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_log_1d_robust_z_-0_20343116_rolling_range_20_-0_047985628_volume_trend_48_-0_39134601,short,pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_log_1d_robust_z_-0_20343116_rolling_range_20_-0_047985628_volume_trend_48_-0_39134601,10,4000,0.479,0.5211682467703609,0.038795875586774706,0.5133485468366196,0.491788059650485,0.2511531567535323,-0.006387895261370069,0.6955343483729829,0.04127050238134033,0.020940183693273363,0.555,1.1586638830897704,0.010397054878289742,0.545,1.1377870563674324,0.010588299514826,0.525,1.0960334029227559,0.009701389755211716
short_price_trend_7d_vol_norm_0_13399115,short_price_trend_7d_vol_norm_0_13399115,short,price_trend_7d_vol_norm_0_13399115,10,4000,0.53775,0.5535819254799623,0.043789190376341026,0.5220696776801965,0.5534786201147278,0.24758070983006125,0.0039997100268355235,0.6883384841211584,0.06835499100361753,0.03789631472556053,0.6225,1.1576011157601118,0.008901347158798771,0.60125,1.1180846118084613,0.006945621873572204,0.565,1.0506741050674104,0.006088351875554063
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_l,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,long,bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,5,4000,0.527,0.5603238015916381,0.04971021220468906,0.5263535970891118,0.5450617266352431,0.24886334844458216,0.0016353749750986912,0.6909595380734777,0.08204720217916993,0.07520235918806197,0.61,1.157495256166983,0.005296836882130096,0.575,1.0910815939278935,0.004888186799792388,0.5541666666666667,1.051549652118912,0.004430879272659331
long_leverage_build_score_0_47693476_up_down_return_mass_ratio_tanh_0_32363921,long_leverage_build_score_0_47693476_up_down_return_mass_ratio_tanh_0_32363921,long,leverage_build_score_0_47693476_up_down_return_mass_ratio_tanh_0_32363921,5,4000,0.50175,0.5240554282298453,0.053212747181871495,0.5236841651310229,0.523519186216559,0.24903278406258428,0.0038566609937600305,0.6911461134583792,0.07261841652062681,0.04577032184550868,0.58,1.1559541604384653,0.0051033288818574515,0.54375,1.0837070254110612,0.0046459330232932645,0.5275,1.0513203786746386,0.0052748186460296045
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,long,asset_vol_level_pct_0_20587213_compression_score_-0_99787366,5,4000,0.52175,0.5391814331020112,0.04683070946760795,0.5178308654551574,0.5404713565584099,0.24858391685513703,0.0037792338346754883,0.6902060416628624,0.0555945573414506,0.03480645209737097,0.6025,1.1547676090081456,0.0072985919258742,0.5625,1.0781025395304265,0.006352660448401544,0.5425,1.0397700047915668,0.005117828805804709
long_dist_ema200_atr_-0_0094806282_funding_mean_10d_robust_z_0_7143302_return_,long_dist_ema200_atr_-0_0094806282_funding_mean_10d_robust_z_0_7143302_return_autocorr_48_0_33558166,long,dist_ema200_atr_-0_0094806282_funding_mean_10d_robust_z_0_7143302_return_autocorr_48_0_33558166,5,4000,0.50775,0.5418186732821475,0.047804151101501234,0.5273001838691744,0.5304522266768722,0.24941122650734246,0.0021153521839922806,0.6918647256955812,0.08543387436535786,0.06718415777561235,0.585,1.1521418020679466,0.007826451675646164,0.54,1.0635155096011817,0.005747981778653266,0.5233333333333333,1.030690956835713,0.005179679048913242
long_bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_0131600,long_bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_01316009_prior_volatility_-0_74141055,long,bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_01316009_prior_volatility_-0_74141055,5,4000,0.50475,0.5283137396980004,0.04433235332218529,0.522881690072529,0.5270300353892396,0.2487716452750597,0.0048236042300429105,0.6904995755725551,0.07147494027021335,0.0508512891896403,0.58,1.1490837048043585,0.004179004912675066,0.52625,1.0425953442298166,0.003218807642528376,0.5233333333333333,1.036816906059105,0.0032762025070654736
long_leverage_build_score_0_45489082_oi_vol_10d_robust_z_0_03289881,long_leverage_build_score_0_45489082_oi_vol_10d_robust_z_0_03289881,long,leverage_build_score_0_45489082_oi_vol_10d_robust_z_0_03289881,5,4000,0.47025,0.5041765793999796,0.041370975179682065,0.5152197567438124,0.4881134541531541,0.24902326943449576,0.00036797498545904084,0.6911025683435632,0.04701395026035583,0.029307978152228385,0.54,1.1483253588516746,0.006778966682065517,0.50875,1.0818713450292399,0.0072639780944314695,0.4841666666666667,1.0295941874889243,0.006571782525121449
short_dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10,short_dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10d_robust_z_0_23050037,short,dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10d_robust_z_0_23050037,5,4000,0.46225,0.4977921244935093,0.03119895879891308,0.5116819651216848,0.4696576308192094,0.2495743914389638,-0.004020734950255456,0.6922826971111588,0.03614781491042697,0.030798642851623887,0.5275,1.141157382368848,0.01099296622297801,0.5025,1.0870740941049215,0.009744523664355418,0.48583333333333334,1.0510185685956372,0.010163172671212306
short_dist_funding_pressure_price_12h_atr_-1_7686789_distance_to_ema_0_1824062,short_dist_funding_pressure_price_12h_atr_-1_7686789_distance_to_ema_0_18240625_loc_swing_range_pos_24_1_0325636_asset_funding_rate_abs_mean_7d_0_0000098211685_asset_minus_mkt_oi_1d_0_0098409671,short,dist_funding_pressure_price_12h_atr_-1_7686789_distance_to_ema_0_18240625_loc_swing_range_pos_24_1_0325636_asset_funding_rate_abs_mean_7d_0_0000098211685_asset_minus_mkt_oi_1d_0_0098409671,10,4000,0.57475,0.6055751786931703,0.045927932626639884,0.5236278380882315,0.5909333011481696,0.24363191809018434,0.0031934520918791565,0.6804044632988966,0.07304931044150054,0.047066461329165366,0.655,1.1396259243149196,0.007271697855219063,0.59125,1.028708133971292,0.006308914331737694,0.6091666666666666,1.0598811077279977,0.006992492478794684
