short_head,head,side,strategy_id,horizon,n_periods,mean_ic,median_ic,std_ic,positive_frac,weighted_mean_ic,mean_period_hit,mean_top10_hit
long_leverage_build_score_0_45489082_oi_vol_10d_robust_z_0_03289881,long_leverage_build_score_0_45489082_oi_vol_10d_robust_z_0_03289881,long,leverage_build_score_0_45489082_oi_vol_10d_robust_z_0_03289881,5,3,0.25482337597254806,0.27633971188310297,0.1450205760853532,1.0,0.2520282493678361,0.33369408369408377,0.38888888888888884
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,long,asset_vol_level_pct_0_20587213_compression_score_-0_99787366,5,4,0.2432953071792527,0.24320875098294104,0.2493210951826205,0.75,0.22085563629383487,0.6214371980676328,0.6041666666666666
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pull,long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,long,bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,5,9,0.15311244064176183,0.1663328958651439,0.22332998530969858,0.7777777777777778,,0.6468070338056313,0.7037037037037037
long_dist_funding_pressure_price_12h_atr_0_29706532_pullback_depth_1_1069927_f,long_dist_funding_pressure_price_12h_atr_0_29706532_pullback_depth_1_1069927_fund_abs_z_mkt_resid_0_20359418_price_rv_10d_robust_z_0_16489652_variance_ratio_10_48_1_6172435,long,dist_funding_pressure_price_12h_atr_0_29706532_pullback_depth_1_1069927_fund_abs_z_mkt_resid_0_20359418_price_rv_10d_robust_z_0_16489652_variance_ratio_10_48_1_6172435,10,3,0.14971037246170793,0.13948208816291768,0.08608615944384193,1.0,0.14554786585149201,0.6151905528717122,0.8333333333333334
long_asset_funding_z_-0_46231303_asset_minus_mkt_oi_1d_peer_resid_-0_13293807_,long_asset_funding_z_-0_46231303_asset_minus_mkt_oi_1d_peer_resid_-0_13293807_compression_score_1_5446399_oi_value_z_90d_0_23918504,long,asset_funding_z_-0_46231303_asset_minus_mkt_oi_1d_peer_resid_-0_13293807_compression_score_1_5446399_oi_value_z_90d_0_23918504,5,1,0.14302610464636437,0.14302610464636437,,1.0,0.14302610464636437,0.65,1.0
long_pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_2961309,long_pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_29613096,long,pullback_depth_-0_46066526_compression_score_-0_4311325_oi_rank_0_29613096,5,17,0.14107278730894177,0.15585855940740545,0.19423895581171502,0.6470588235294118,,0.5339877853304964,0.5539215686274509
long_dist_ema200_atr_-0_0094806282_funding_mean_10d_robust_z_0_7143302_return_,long_dist_ema200_atr_-0_0094806282_funding_mean_10d_robust_z_0_7143302_return_autocorr_48_0_33558166,long,dist_ema200_atr_-0_0094806282_funding_mean_10d_robust_z_0_7143302_return_autocorr_48_0_33558166,5,18,0.1313365853470845,0.15628389276724386,0.18853622816420224,0.7222222222222222,0.1387400869417842,0.46705993151022823,0.6296296296296295
long_asset_minus_mkt_oi_1d_z_90d_-0_068236656_atr_compression_ratio_-0_1286176,long_asset_minus_mkt_oi_1d_z_90d_-0_068236656_atr_compression_ratio_-0_12861766_oi_trend_7d_robust_z_-0_75083274_price_trend_7d_vol_norm_-0_10092611,long,asset_minus_mkt_oi_1d_z_90d_-0_068236656_atr_compression_ratio_-0_12861766_oi_trend_7d_robust_z_-0_75083274_price_trend_7d_vol_norm_-0_10092611,10,7,0.10890614422074935,0.16611522876287593,0.22298149073572424,0.5714285714285714,,0.7251855287569572,0.8095238095238095
short_dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10,short_dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10d_robust_z_0_23050037,short,dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10d_robust_z_0_23050037,5,21,0.10724112815641167,0.10111921378971665,0.1656752010565866,0.6666666666666666,,0.6354234199054876,0.7380952380952381
short_price_trend_7d_vol_norm_0_13399115,short_price_trend_7d_vol_norm_0_13399115,short,price_trend_7d_vol_norm_0_13399115,10,39,0.07367252960359931,0.11204235260950496,0.20095057457909338,0.6410256410256411,,0.5442778087958258,0.5914529914529916
short_pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_l,short_pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_log_1d_robust_z_-0_20343116_rolling_range_20_-0_047985628_volume_trend_48_-0_39134601,short,pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_log_1d_robust_z_-0_20343116_rolling_range_20_-0_047985628_volume_trend_48_-0_39134601,10,35,0.06119953299982437,0.05483398516624691,0.21070581734481847,0.5714285714285714,,0.58824690980702,0.6599999999999999
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_buil,long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,long,dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,5,3,0.06104676956673597,0.0,0.1057361065275362,0.3333333333333333,0.05549706324248725,0.44743589743589746,0.2222222222222222
long_bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_0131600,long_bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_01316009_prior_volatility_-0_74141055,long,bars_in_high_vol_state_log_norm_-0_20418568_dist_prior_day_high_0_01316009_prior_volatility_-0_74141055,5,15,0.04775553996468114,0.07460470969529907,0.2427576204456546,0.6,0.045867002714027424,0.500164041454364,0.4944444444444444
long_price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24,long_price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24h_pct_0_07499177,long,price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24h_pct_0_07499177,10,30,0.04068803487739488,0.14856386387572137,0.3129995591206439,0.5,,0.5920499958668606,0.6661111111111111
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asse,long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,long,loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,5,18,0.03599121384300533,0.0796010469712436,0.19858640638105435,0.5555555555555556,0.024782072093269707,0.4919832526362484,0.5046296296296295
short_loc_swing_range_pos_48_1_4057727_compression_score_1_0095602,short_loc_swing_range_pos_48_1_4057727_compression_score_1_0095602,short,loc_swing_range_pos_48_1_4057727_compression_score_1_0095602,5,10,0.03450282182653198,-0.040316088561565905,0.16760530410720115,0.3,,0.5490986260116694,0.7166666666666666
long_amihud_illiq_1_6657294,long_amihud_illiq_1_6657294,long,amihud_illiq_1_6657294,5,16,0.024301583310448717,0.012475922021720615,0.16318841081830787,0.4375,,0.47370018467827935,0.484375
