regime_family,generated_booleans,retained,dropped
asset_relative_funding,2,2,0
asset_relative_orderbook,1,0,1
asset_state,2,2,0
compression,4,4,0
context,2,2,0
crowding,2,2,0
funding,12,12,0
liquidity,6,6,0
momentum,1,1,0
open_interest,39,39,0
orderbook,6,4,2
path_structure,8,6,2
perp_tradeability,28,18,10
residual,24,22,2
trend,6,5,1
volatility,4,3,1
volatility_term_structure,4,4,0
