canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(*)|(mark_vs_perp_bps>1.1342534&price_trend_15d_vol_norm<=0.012674913&volume_autocorr_48<=-0.054347992),3,3,regime,liquidity|open_interest|perp_tradeability,,liquidity|open_interest|perp_tradeability
(*)|(*)|(dist_funding_pressure_price_96h_atr<=-1.793425&mark_vs_perp_bps>1.1342534&price_trend_15d_vol_norm<=0.012674913&volume_autocorr_48>-0.054347992),4,4,regime,liquidity|open_interest|perp_tradeability,,liquidity|open_interest|perp_tradeability
(*)|(bars_in_high_vol_state_log_norm<=1.0014061&oiw_intensity_entry_dist_7d_atr<=0.54994076)|(log_oi_to_volume_7d<=1.2537228&mark_vs_perp_bps<=-1.8805463&price_trend_15d_vol_norm>-0.093607038),5,5,location|regime,open_interest|perp_tradeability,context|open_interest_location,context|open_interest|open_interest_location|perp_tradeability
(*)|(*)|(log_oi_to_volume_1d>40.481667&oi_value_log_1d_robust_z>0.66675556&price_trend_15d_vol_norm>-0.092431381),3,3,regime,open_interest,,open_interest
(*)|(*)|(asset_funding_rate_mean_7d<=0.0000011925256&price_rv_10d_robust_z<=0.23439531&price_trend_15d_vol_norm<=0.036823079&price_trend_15d_vol_norm>-0.093607038&range_per_funding_abs_z_24h<=-0.18739374),5,5,regime,open_interest|perp_tradeability,,open_interest|perp_tradeability
(*)|(zscore_price_200>-0.63866884)|(atr_percentile<=0.57410705&log_oi_to_volume_1d<=41.481293&mark_perp_dislocation<=0.0023657456&price_rv_7d_robust_z<=0.86177218),5,5,location|regime,compression|open_interest|perp_tradeability,context,compression|context|open_interest|perp_tradeability
(*)|(oiw_pos_delta_entry_dist_14d_atr<=-0.43250781)|(log_oi_to_volume_1d<=41.481293&mark_perp_dislocation>0.0023657456&ob_imbalance_mkt_resid>-2.5011921),4,4,location|regime,open_interest|perp_tradeability|residual,open_interest_location,open_interest|open_interest_location|perp_tradeability|residual
(*)|(loc_prev_week_range_pos_24>0.33459046&loc_session_pos_24<=0.42857164)|(price_rv_7d_robust_z<=-0.040540636),3,3,location|regime,open_interest,context,context|open_interest
(*)|(loc_prev_week_range_pos_48>0.13731803&loc_pullback_depth_24>0.21113372)|(asset_funding_rate_mean_3d>0.0000041045901&price_trend_10d_vol_norm<=0.11640704&price_trend_7d_vol_norm>-0.098751031&volume_autocorr_48>-0.51509839),6,6,location|regime,liquidity|open_interest|perp_tradeability,context|path_structure,context|liquidity|open_interest|path_structure|perp_tradeability
(*)|(*)|(mark_perp_dislocation<=-0.0024192962&price_trend_15d_vol_norm>-0.00089286867&return_autocorr_48<=0.67404646),3,3,regime,momentum|open_interest|perp_tradeability,,momentum|open_interest|perp_tradeability
