fold_id,seed,regime_family,gain,split
0,42,asset_relative_funding,113.60417,36.0
0,42,asset_state,430.38803,62.0
0,42,compression,1292.1699,190.0
0,42,context,666.54285,101.0
0,42,crowding,148.75217,35.0
0,42,funding,1695.5804,322.0
0,42,liquidity,1059.4805,181.0
0,42,momentum,496.3957,72.0
0,42,open_interest,8840.945,1300.0
0,42,orderbook,160.64633,34.0
0,42,path_structure,1219.5402,228.0
0,42,perp_tradeability,5033.627,928.0
0,42,residual,2016.7324,404.0
0,42,trend,330.59293,59.0
0,42,volatility,296.51752,65.0
0,42,volatility_term_structure,736.19086,128.0
1,42,asset_relative_funding,33.66906,6.0
1,42,asset_state,199.2355,19.0
1,42,compression,499.15695,43.0
1,42,context,178.86511,14.0
1,42,crowding,10.22024,3.0
1,42,funding,234.10468,32.0
1,42,liquidity,144.83168,25.0
1,42,momentum,110.3985,14.0
1,42,open_interest,3593.0828,263.0
1,42,orderbook,38.277817,8.0
1,42,path_structure,463.68,51.0
1,42,perp_tradeability,1570.0522,176.0
1,42,residual,619.1469,58.0
1,42,trend,83.4991,10.0
1,42,volatility,90.31238,9.0
1,42,volatility_term_structure,133.54099,20.0
2,42,asset_relative_funding,15.950533,6.0
2,42,asset_state,112.38344,11.0
2,42,compression,345.0083,31.0
2,42,context,162.71478,14.0
2,42,funding,208.51082,29.0
2,42,liquidity,36.731403,8.0
2,42,momentum,61.38102,9.0
2,42,open_interest,2484.593,202.0
2,42,orderbook,37.590675,11.0
2,42,path_structure,460.79608,49.0
2,42,perp_tradeability,1561.2909,154.0
2,42,residual,467.1955,55.0
2,42,trend,125.90582,18.0
2,42,volatility,67.88481,10.0
2,42,volatility_term_structure,105.70538,18.0
3,42,asset_relative_funding,115.65265,24.0
3,42,asset_state,189.97849,29.0
3,42,compression,691.4246,102.0
3,42,context,204.98961,43.0
3,42,crowding,26.664139,9.0
3,42,funding,415.8613,105.0
3,42,liquidity,289.7857,70.0
3,42,momentum,272.2051,45.0
3,42,open_interest,5428.594,780.0
3,42,orderbook,65.82452,21.0
3,42,path_structure,895.6587,154.0
3,42,perp_tradeability,2976.3765,502.0
3,42,residual,1203.064,210.0
3,42,trend,294.19785,42.0
3,42,volatility,146.50818,33.0
3,42,volatility_term_structure,257.1983,58.0
4,42,asset_state,175.94675,11.0
4,42,compression,266.85236,12.0
4,42,context,128.09476,8.0
4,42,crowding,1.20877,1.0
4,42,funding,27.080217,7.0
4,42,liquidity,21.176018,4.0
4,42,momentum,18.03237,4.0
4,42,open_interest,1055.0359,68.0
4,42,orderbook,4.9629,1.0
4,42,path_structure,75.97243,8.0
4,42,perp_tradeability,1003.93134,67.0
4,42,residual,172.34094,12.0
4,42,trend,98.487,8.0
4,42,volatility,30.386292,4.0
4,42,volatility_term_structure,47.29574,10.0
