fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,alpha,metric,target_type,target_name,horizon
0,42,632,0.250938679872356,6,64,3897,quantile,0.65,quantile,quantile,atr_norm_returns_target,10
1,42,116,0.24902217785861497,6,64,3781,quantile,0.65,quantile,quantile,atr_norm_returns_target,10
2,42,97,0.2282151731762709,6,64,3662,quantile,0.65,quantile,quantile,atr_norm_returns_target,10
3,42,348,0.24355726691036744,6,64,3745,quantile,0.65,quantile,quantile,atr_norm_returns_target,10
4,42,34,0.26355550720935367,6,64,3561,quantile,0.65,quantile,quantile,atr_norm_returns_target,10
