metric,value,filter_type
volume_kalman_snr_improvement,3691.4628110394697,volume
volume_kalman_noise_reduction,0.9997288773109301,volume
volume_kalman_smoothness_ratio,1.939248150621233,volume
volume_kalman_tracking_rmse,8.656841261341736,volume
volume_kalman_high_freq_reduction,-0.8058800516335745,volume
volume_kalman_low_freq_preservation,1.0006758370031008,volume
moving_average_snr_improvement,260.4136010412733,moving
moving_average_noise_reduction,0.9961653398942981,moving
moving_average_smoothness_ratio,0.002501685740190961,moving
moving_average_tracking_rmse,32.56238297808785,moving
moving_average_high_freq_reduction,0.66812198044802,moving
moving_average_low_freq_preservation,0.9988234083372768,moving
fisher_snr_improvement,5.010586456760188e-06,fisher
fisher_noise_reduction,-1.9041343586101434e-05,fisher
fisher_smoothness_ratio,0.003961003797630613,fisher
fisher_tracking_rmse,3480.9769368562397,fisher
fisher_high_freq_reduction,0.9970523359712467,fisher
fisher_low_freq_preservation,4.270885313694815e-06,fisher
