stage,rows,symbols,fraction_of_prev
side_input,467640,221,1.0
stage_a_feature_matrix,467640,221,1.0
stage_a_target_finite,200520,221,0.4287913779830639
stage_a_any_feature_finite,467640,221,2.33213644524237
stage_a_complete_rows,200520,221,0.4287913779830639
