regime_family,generated_booleans,retained,dropped
asset_relative_funding,2,2,0
asset_relative_orderbook,1,0,1
asset_relative_return,11,11,0
asset_state,2,2,0
compression,4,4,0
context,2,2,0
cross_sectional,1,1,0
crowding,2,2,0
funding,16,16,0
liquidity,7,7,0
momentum,1,1,0
open_interest,67,67,0
orderbook,6,4,2
path_structure,12,9,3
perp_carry,4,4,0
perp_tradeability,33,22,11
residual,48,46,2
trend,7,5,2
volatility,7,6,1
volatility_term_structure,4,4,0
