canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_prior_day_high<=0.06858959)|(prior_volatility<=0.38807842&range_expansion_ratio>0.16603027&up_down_return_mass_ratio_tanh<=0.38620481&up_down_return_mass_ratio_tanh>-0.51463783),5,5,location|regime,context|path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(dist_prior_day_high>0.06858959)|(prior_volatility<=0.38807842),2,2,location|regime,context,context,context
(*)|(dist_prior_day_high<=0.10553454&dist_weekly_vwap<=-0.040518921)|(prior_volatility>0.38807842),3,3,location|regime,context,context,context
(*)|(dist_prior_day_high<=0.10553454&dist_weekly_vwap>-0.040518921&loc_range_pos_24>0.74418682)|(prior_volatility>0.38807842),4,4,location|regime,context,context,context
(*)|(dist_prior_day_high>0.10553454)|(prior_volatility>0.38807842),2,2,location|regime,context,context,context
(*)|(dist_prior_day_low>0.0093862116)|(range_24h_pct<=0.041775525&realized_volatility_24h>-0.35765323),3,3,location|regime,compression|volatility,context,compression|context|volatility
(*)|(loc_pivot_ladder_pos_48>-0.12651949&loc_vwap_dev_z_48<=-0.21539722)|(prior_range<=0.27067804&range_24h_pct>0.041775525),4,4,location|regime,compression|context,context|liquidity,compression|context|liquidity
(*)|(loc_vwap_dev_z_48>-0.21539722)|(direction_entropy_20<=0.14271666&prior_range<=0.27067804&range_24h_pct>0.041775525),4,4,location|regime,compression|context|path_structure,liquidity,compression|context|liquidity|path_structure
(*)|(loc_ema_stack_pos_48<=0.1684061)|(prior_range>0.27067804&prior_volatility<=0.96840793&range_24h_pct>0.041775525),4,4,location|regime,compression|context,trend,compression|context|trend
(*)|(loc_ema_stack_pos_48<=0.1684061)|(prior_range>0.27067804&prior_volatility>0.96840793&range_24h_pct>0.041775525),4,4,location|regime,compression|context,trend,compression|context|trend
(*)|(dist_rolling_7d_high<=0.045192745)|(bollinger_band_width>-0.0022495438&prior_volatility<=0.013672687),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_rolling_7d_high>0.045192745&loc_vwap_dev_z_48<=0.13086325)|(prior_volatility<=0.013672687&tail_asymmetry_q90_q10_atr_norm<=-0.0089012152&true_range_percentile<=-0.059860047),5,5,location|regime,context|path_structure|volatility,context|liquidity,context|liquidity|path_structure|volatility
(*)|(dist_rolling_7d_high>0.045192745&loc_vwap_dev_z_48<=0.13086325)|(prior_volatility<=0.013672687&tail_asymmetry_q90_q10_atr_norm>-0.0089012152&true_range_percentile<=-0.059860047),5,5,location|regime,context|path_structure|volatility,context|liquidity,context|liquidity|path_structure|volatility
(*)|(dist_prior_day_high<=0.085584767)|(direction_entropy_20<=-0.026825203&prior_volatility>0.013672687),3,3,location|regime,context|path_structure,context,context|path_structure
