week_start,week_end_excl,candidates,accepted_trades,accept_rate_%,trades/day,hit_rate_%,avg_net/trade_%,median_net_%,avg_gross/trade_%,trade_sortino,trade_seq_maxdd_%,avg_rank,avg_dyn_thr,trailing_%,timeout_%,equity_week_ret_%,equity_maxdd_%,avg_open_pos
2026-01-19,2026-01-26,7323,148,2.021,41.302,66.216,1.39,0.911,1.895,6.409,-4.997,0.986,0.896,66.216,1.351,19.849,-0.573,6.826
2026-01-26,2026-02-02,12559,263,2.094,37.571,67.3,3.195,1.845,3.704,14.351,-9.209,0.983,0.897,66.54,1.521,104.829,-1.198,6.804
2026-02-02,2026-02-09,13337,274,2.054,39.143,76.277,3.808,2.318,4.319,14.67,-9.209,0.984,0.897,75.182,1.825,148.701,-0.816,6.893
2026-02-09,2026-02-16,8820,268,3.039,38.286,74.627,2.35,2.318,2.857,10.365,-6.047,0.984,0.897,74.254,1.119,71.416,-1.756,6.786
2026-02-16,2026-02-23,10434,225,2.156,32.143,69.333,2.292,1.173,2.799,14.024,-13.929,0.982,0.897,69.333,0.444,51.45,-1.176,6.72
2026-02-23,2026-03-02,12953,291,2.247,41.571,71.478,2.625,1.944,3.133,10.784,-6.428,0.986,0.896,70.447,1.718,93.262,-1.463,6.613
2026-03-02,2026-03-09,14750,267,1.81,38.143,73.783,2.413,2.216,2.921,11.885,-9.388,0.989,0.9,73.783,0.375,65.13,-0.618,7.488
2026-03-09,2026-03-16,11207,267,2.382,38.143,78.652,2.36,1.747,2.867,8.011,-8.459,0.988,0.899,77.528,1.873,68.714,-0.532,7.327
2026-03-16,2026-03-23,10584,295,2.787,42.143,72.881,2.338,2.393,2.845,14.167,-10.976,0.983,0.895,72.542,0.678,90.659,-1.511,6.327
2026-03-23,2026-03-30,10350,258,2.493,36.857,69.767,2.974,1.925,3.483,12.568,-8.655,0.982,0.897,69.767,0.775,103.517,-1.031,6.75
2026-03-30,2026-04-06,13553,227,1.675,32.429,71.806,2.171,1.748,2.678,15.683,-6.047,0.989,0.9,68.282,3.965,48.676,-0.77,7.673
2026-04-06,2026-04-13,11790,248,2.103,35.429,70.161,2.473,2.262,2.981,12.233,-18.759,0.986,0.899,68.548,2.419,70.2,-1.343,7.44
2026-04-13,2026-04-20,12295,285,2.318,40.714,78.596,2.626,2.068,3.134,14.109,-5.164,0.985,0.897,77.895,0.702,92.134,-0.834,6.786
2026-04-20,2026-04-27,11345,263,2.318,37.571,75.285,2.163,1.532,2.67,14.888,-8.155,0.985,0.898,74.525,0.76,55.112,-0.904,7.22
2026-04-27,2026-05-04,10927,232,2.123,33.143,75.431,2.757,1.875,3.265,9.848,-7.508,0.985,0.899,74.138,2.586,70.917,-0.571,7.506
2026-05-04,2026-05-11,10378,288,2.775,41.143,83.333,2.397,1.878,2.904,9.892,-4.619,0.983,0.896,82.639,1.042,82.925,-0.549,6.512
2026-05-11,2026-05-18,9861,271,2.748,38.714,59.779,1.722,0.955,2.227,7.818,-11.512,0.977,0.895,57.565,3.69,52.553,-0.94,6.369
2026-05-18,2026-05-25,6325,148,2.34,37.0,75.676,1.954,1.704,2.46,6.285,-8.104,0.987,0.898,75.0,2.703,25.516,-0.667,7.134
