,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vol_concentration_12,0.11913501,0.025730144,0.55161566,170.16667,25.049397,1155.9838,587.89636,130.60396,2646.3374,0.19494556,0.044962723,0.84522843,0.3459049,0.0688035,1.7390133,1.0,0.7663567,0.39812237,1.0,0.8125,1.0,0.0,2.0,1.0,0.90312505,1.0
asset_atr_level,0.09100288,0.033204593,0.24940902,155.83333,30.514568,795.8175,441.48895,90.17417,2161.5112,0.14356439,0.03471173,0.5937686,0.2638028,0.073066466,0.95244664,2.0,0.0579288,0.7558971,0.758052,0.59375,0.6666667,0.0705,4.0,2.1666667,0.6688912,2.0
vol_regime_z,0.07203093,0.031973742,0.1622724,88.5,28.941032,270.62787,394.68484,185.97008,837.64087,0.12472456,0.06042048,0.25746596,0.2262609,0.10170272,0.50336903,6.0,0.047997322,0.5525669,0.59488535,0.4375,0.6666667,0.15801665,4.0,3.0,0.5444628,3.0
volume_entropy_12,0.07196807,0.023537256,0.22005129,134.83333,42.908493,423.693,400.9089,163.54715,982.76215,0.123228244,0.049751993,0.30521792,0.23198177,0.082937084,0.64887184,3.0,0.041359186,0.46772048,0.59434474,0.53125,0.5,0.16521144,5.5,2.5,0.5429627,4.0
kf_ret1h_mean,0.079555556,0.03341396,0.18941444,113.166664,39.76354,322.07132,383.8311,170.43086,864.4343,0.1308724,0.059183888,0.28939608,0.22521949,0.10981964,0.46188292,4.0,1.0,0.7843238,0.65960026,0.375,0.5,0.0649264,4.5,3.3333333,0.53477645,5.0
vol_state,0.07373578,0.03909068,0.13908598,111.333336,42.19663,293.74646,366.36273,207.01534,648.3657,0.12675826,0.07608632,0.21117666,0.20868114,0.10941333,0.39801198,7.0,0.0,0.0,0.60954773,0.53125,0.33333334,0.059702657,7.0,2.5,0.5210489,6.0
vol_z_30_calm,0.059946615,0.02725788,0.13183698,112.333336,33.74743,373.9182,307.06448,87.11959,1082.2892,0.09572592,0.02900357,0.3159422,0.18162052,0.06383523,0.5167368,5.0,0.0,0.71290207,0.4909552,0.5625,0.33333334,0.23871729,8.0,2.3333333,0.47258624,7.0
time_since_peak_12h,0.05576385,0.024552112,0.12665334,115.666664,41.006775,326.25775,304.0355,142.24994,649.82513,0.09716111,0.048783097,0.1935154,0.1712323,0.07241459,0.40489766,8.0,0.55642855,1.0,0.45498168,0.34375,0.33333334,0.23107377,8.0,3.5,0.39773113,8.0
asset_vol_level,0.049640443,0.022156207,0.11121821,85.166664,24.443245,296.74298,283.20618,130.24121,615.82465,0.08575857,0.040104616,0.18338367,0.16324483,0.078092076,0.3412494,10.0,0.33420682,0.8182381,0.40231782,0.1875,0.33333334,0.11367387,7.5,4.3333335,0.3238335,9.0
spike_score,0.04043895,0.012666101,0.1291091,73.0,22.985502,231.84178,229.92073,83.81411,630.72363,0.07057973,0.026184786,0.19024399,0.13108206,0.04734001,0.3629595,9.0,0.37722778,0.6943785,0.32318115,0.5625,0.0,0.10061804,10.5,2.3333333,0.32340553,10.0
