group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,36,597,597,0,0,0,0,0,74301.0,111665.0,185578.0,223088.0,297308.0
location,39,702,702,0,0,0,0,0,74301.0,111665.0,185615.0,223088.0,297308.0
