side,source_horizon,cheap_rank,canonical_key
short,0,0.44154375810087204,(*)|(dist_local_swing>0.0075000376)|(rv_24h>0.64176947)
short,0,0.49858629045065295,(*)|(dist_ma100_atr>0.0064689955&dist_rolling_7d_high>0.079940066)|(*)
short,0,0.5770263424514701,(*)|(zscore_price_200>-0.83594918)|(atr_compression_ratio>-0.3296138&return_autocorr_48>0.43961424)
short,0,0.6017624043589948,(*)|(dist_prior_day_high>0.032189868)|(atr_percentile<=0.77044308&volume_autocorr_48>0.57277274)
short,0,0.4767059522416334,(*)|(dist_prior_day_high>0.045918439&dist_weekly_vwap>-0.079782315)|(range_24h_pct>0.027146906&volume_autocorr_48>0.31410831)
short,0,0.6762125019332338,(*)|(dist_prior_day_high>0.013939769&zscore_price_50>-0.88536894)|(range_24h_pct>0.08532089)
short,0,0.6946979051428857,(*)|(dist_ema200_atr>-0.0064145862&dist_prior_day_low>0.0071374238&loc_prev_day_range_pos_24<=0.72222292&loc_prior_bar_pos_48>-0.42647111&loc_session_pos_24<=0.82982004)|(volume_autocorr_48>-0.96586442)
short,0,0.5700819010743411,(*)|(dist_rolling_7d_high>0.088078603&zscore_price_50>0.00000000000000000000000000000000001)|(amihud_z<=0.91134155)
short,0,0.5534776995254423,(*)|(loc_range_pos_24<=0.67118645&zscore_price_200>-1.9268599)|(range_24h_pct>0.096115589)
short,0,0.35675023858660443,(*)|(dist_prior_day_high>0.036561437&loc_prev_day_range_pos_48>0.23878805)|(volume_autocorr_48>0.3928518)
short,0,0.4827957100793795,(*)|(dist_prior_day_low>0.0065432359&loc_session_pos_48<=0.51807719&zscore_price_50>-1.2584362)|(range_24h_pct>0.077209771)
short,0,0.3574269451797206,(*)|(dist_rolling_7d_high<=0.25806749)|(range_24h_pct>0.10359767)
short,0,0.7423012643926161,(*)|(dist_prior_day_high>0.038653746&zscore_price_200>-1.7027134)|(volume_autocorr_48>0.47303388)
short,0,0.47978668508049765,(*)|(dist_rolling_7d_high>0.031176949&dist_weekly_vwap>-0.066426471)|(compression_ratio>-0.44635275&range_expansion_ratio<=0.14228192&volume_autocorr_48>0.6245873)
short,0,0.412385978962047,(*)|(loc_prior_bar_pos_24>-0.1666645)|(return_autocorr_48>0.00000000000000000000000000000000001&rv_24h>0.68036592)
short,0,0.5691211340060202,(*)|(dist_ema200_atr>-0.0018699239&dist_rolling_7d_high>0.0889&loc_prior_bar_pos_48<=0.76068342)|(*)
short,0,0.3674368698746939,(*)|(dist_ema200_atr>0.003278401&dist_rolling_7d_high>0.080769248&loc_initial_balance_pos_48>0.12142798&zscore_price_50>-0.32400987)|(atr_compression_ratio>-0.92850435)
short,0,0.42700840482017727,(*)|(dist_prior_day_high>0.019677976&zscore_price_200>-0.51557612)|(choppiness_index_20<=-0.22316609&return_autocorr_48>-1.1703227)
short,0,0.5167189745408364,(*)|(dist_prior_day_high>0.029371811)|(ema50_slope>-0.86875141&range_24h_pct>0.093600363)
short,0,0.39778022300735233,(*)|(dist_rolling_7d_high>0.026422318&loc_session_pos_24<=0.59302396&zscore_price_50>-0.87768316)|(spectral_entropy_ret_24<=-0.34314066)
