metric,value,filter_type
volume_kalman_snr_improvement,1138.3165101620164,volume
volume_kalman_noise_reduction,0.9991208341449045,volume
volume_kalman_smoothness_ratio,6.806897587317236,volume
volume_kalman_tracking_rmse,349.33570109682483,volume
volume_kalman_high_freq_reduction,-1.0,volume
volume_kalman_low_freq_preservation,1.0001683362942229,volume
moving_average_snr_improvement,381.83265249194085,moving
moving_average_noise_reduction,0.9973838176372107,moving
moving_average_smoothness_ratio,0.002541660571548807,moving
moving_average_tracking_rmse,602.9802277178045,moving
moving_average_high_freq_reduction,0.6145417683150363,moving
moving_average_low_freq_preservation,0.9991224796657444,moving
fisher_snr_improvement,9.955391059534134e-09,fisher
fisher_noise_reduction,1.124059594403981e-06,fisher
fisher_smoothness_ratio,1.0842474253678774e-05,fisher
fisher_tracking_rmse,100077.7247526283,fisher
fisher_high_freq_reduction,0.9999932397802872,fisher
fisher_low_freq_preservation,8.469379302320041e-09,fisher
