Strategy,Side,RawThr,DeployThr,SizePow,SL,TrailAct,TrailPow,TrailDiv,Giveback,CapMFE,CapReg,Adv,AdvMAE,AdvSpeed,AdvQ,AdvTheta,FinalMeanNet
L_dist_weekly_vwap,long,0.58,0.6799999999999999,1.1,3.0,2.0,1.4,2.0,0.6,2.5,0.9500000000000001,True,1.9,0.7000000000000001,0.75,2.7448410987854004,0.0035319349262863398
L_prev_week_vwap,long,0.58,0.6799999999999999,1.1,3.3000000000000003,2.5,1.5,1.0,0.9,1.8,0.75,True,2.3,1.3000000000000003,0.55,2.9668939113616943,0.004703869577497244
L_prior_range,long,0.61,0.71,1.1,3.3000000000000003,2.5,2.0,2.5,0.3,1.1,0.55,True,2.4,0.9,0.95,2.9019806385040283,0.008164909668266773
S_dist_7d_high,short,0.59,0.69,1.1,2.9000000000000004,2.0,1.7,2.0,0.8,2.9000000000000004,0.9,True,0.8,1.1,0.75,2.4211394786834717,0.005956666078418493
S_dist_swing_tail,short,0.58,0.6799999999999999,1.1,3.4000000000000004,2.5,1.2,1.5,0.6,1.5,1.0,True,0.6,1.5,0.8,2.8349127769470215,0.005507762543857098
S_ema_compression,short,0.58,0.6799999999999999,1.1,3.1,2.5,1.5,1.0,0.8,3.0,0.75,True,1.0,1.0,0.8500000000000001,2.4808106422424316,0.005636346060782671
