Strategy,Side,Slice,Period,Trades,Trades/day,Candidates,Skipped,AvgNet/trade,AvgSized/trade,HitRate,PosPnL,W Sortino,M Sortino,W Std,M Std,WorstWeek,WorstMonth,MaxDD,TUW days,Trail%,Cap%,SL%,Adv%,TO%
L_dist_weekly_vwap,long,Top10%,2024-02-07..2026-05-10,513,0.6233292831105711,671,158,0.0038235075771808624,0.026266520842909813,1.0,1.0,100.0,100.0,0.044466737657785416,0.08966639637947083,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L_dist_weekly_vwap,long,Top20%,2024-02-05..2026-05-10,1035,1.2545454545454546,1341,306,0.0036181819159537554,0.02565622515976429,0.9874396135265701,0.9874396135265701,8.362062454223633,30.940309524536133,0.07258711755275726,0.14316405355930328,-0.005909639410674572,,-0.010029107332229614,61.75,0.9874396135265701,0.0,0.010628019323671498,0.000966183574879227,0.000966183574879227
L_dist_weekly_vwap,long,Top30%,2024-02-05..2026-05-10,1523,1.846060606060606,2011,488,0.003420840948820114,0.02499462477862835,0.9665134602757715,0.9665134602757715,9.404831886291504,34.75404357910156,0.0945511981844902,0.18573276698589325,-0.007210320793092251,,-0.023982763290405273,58.416666666666664,0.9665134602757715,0.0,0.030203545633617858,0.0026263952724885093,0.0006565988181221273
L_prev_week_vwap,long,Top10%,2024-02-07..2026-05-10,483,0.5868772782503038,612,129,0.0054442668333649635,0.037295397371053696,0.9772256728778468,0.9772256728778468,5.626326084136963,100.0,0.06007940322160721,0.10279462486505508,-0.004704599734395742,,-0.016807854175567627,96.29166666666667,0.9772256728778468,0.008281573498964804,0.014492753623188406,0.0,0.0
L_prev_week_vwap,long,Top20%,2024-02-07..2026-05-10,911,1.1069258809234508,1223,312,0.005245164968073368,0.03707529976963997,0.960482985729967,0.960482985729967,3.27761173248291,100.0,0.10106948763132095,0.17667065560817719,-0.02394324354827404,,-0.0320277214050293,58.583333333333336,0.960482985729967,0.01646542261251372,0.02305159165751921,0.0,0.0
L_prev_week_vwap,long,Top30%,2024-02-07..2026-05-10,1316,1.5990279465370596,1835,519,0.004824944771826267,0.03502808138728142,0.939209726443769,0.939209726443769,8.536469459533691,100.0,0.12628942728042603,0.22408248484134674,-0.009401757270097733,,-0.0303194522857666,58.333333333333336,0.939209726443769,0.0243161094224924,0.0364741641337386,0.0,0.0
L_prior_range,long,Top10%,2024-04-06..2026-05-09,343,0.44954128440366975,462,119,0.0103755546733737,0.07119273394346237,0.956268221574344,0.956268221574344,100.0,100.0,0.09870606660842896,0.2072046995162964,-0.010434863157570362,,-0.02731633186340332,91.79166666666667,0.956268221574344,0.037900874635568516,0.0058309037900874635,0.0,0.0
L_prior_range,long,Top20%,2024-03-21..2026-05-09,657,0.8433889602053916,923,266,0.009089004248380661,0.06404174119234085,0.9101978691019786,0.9101978691019786,5.288267612457275,100.0,0.1351504921913147,0.27430546283721924,-0.018854983150959015,,-0.039238691329956055,91.79166666666667,0.9101978691019786,0.0684931506849315,0.0197869101978691,0.0015220700152207,0.0
L_prior_range,long,Top30%,2024-03-21..2026-05-09,941,1.2079589216944802,1337,396,0.007537403143942356,0.05431981384754181,0.8544102019128587,0.8565356004250797,2.795010805130005,100.0,0.1489676684141159,0.29382941126823425,-0.043440081179142,,-0.07151269912719727,91.16666666666667,0.8544102019128587,0.09670563230605739,0.044633368756641874,0.0010626992561105207,0.003188097768331562
S_dist_7d_high,short,Top10%,2024-02-17..2026-01-08,386,0.5586107091172214,572,186,0.006760170217603445,0.04642799496650696,0.9922279792746114,0.9922279792746114,5.184625625610352,100.0,0.08579150587320328,0.19445233047008514,-0.006856178864836693,,-0.006856203079223633,63.833333333333336,0.9922279792746114,0.0,0.0051813471502590676,0.0025906735751295338,0.0
