regime_family,generated_booleans,retained,dropped
compression,45,45,0
context,30,30,0
liquidity,60,60,0
momentum,15,15,0
path_structure,90,90,0
trend,108,105,3
volatility,135,135,0
volatility_term_structure,60,60,0
