families_combo,count
context|open_interest,281
context|open_interest|perp_tradeability,158
compression|context|open_interest,83
open_interest,76
context,63
context|open_interest|path_structure,58
open_interest|perp_tradeability,54
context|perp_tradeability,53
context|open_interest|open_interest_location,48
asset_state|context|open_interest,48
context|open_interest|trend,38
context|open_interest|residual,36
compression|context|open_interest|perp_tradeability,35
open_interest|path_structure,34
compression|open_interest,34
context|open_interest|volatility_term_structure,33
asset_state|context,30
context|open_interest|open_interest_location|perp_tradeability,30
context|liquidity|open_interest,30
compression|context|perp_tradeability,28
asset_state|context|open_interest|perp_tradeability,28
compression|context,27
context|open_interest|path_structure|perp_tradeability,27
asset_state|open_interest,26
context|path_structure,26
context|open_interest|perp_tradeability|trend,23
compression|open_interest|perp_tradeability,23
context|funding|open_interest,23
context|trend,22
open_interest|path_structure|perp_tradeability,22
open_interest|volatility_term_structure,19
context|open_interest|open_interest_location|path_structure,19
context|open_interest_location,18
context|residual,17
compression|context|open_interest|open_interest_location,17
open_interest|open_interest_location,16
compression|context|open_interest|path_structure,16
context|liquidity,15
context|liquidity|open_interest|perp_tradeability,15
funding|open_interest,15
liquidity|open_interest,15
context|funding|open_interest|perp_tradeability,15
context|open_interest|perp_tradeability|volatility_term_structure,15
open_interest|residual,14
open_interest|open_interest_location|path_structure,14
asset_state|open_interest|perp_tradeability,14
open_interest|path_structure|trend,13
context|open_interest|perp_tradeability|residual,13
compression|open_interest|path_structure,13
open_interest|open_interest_location|perp_tradeability,13
compression|open_interest|open_interest_location,13
context|path_structure|perp_tradeability,12
open_interest|perp_tradeability|volatility_term_structure,12
context|open_interest|volatility,12
context|open_interest|open_interest_location|volatility_term_structure,12
context|perp_tradeability|trend,11
compression|context|open_interest|trend,11
asset_state|open_interest|open_interest_location,11
momentum|open_interest,11
asset_state|context|open_interest|open_interest_location,10
asset_state|context|perp_tradeability,10
compression|path_structure|perp_tradeability,10
context|open_interest|path_structure|trend,10
context|funding|perp_tradeability,10
compression|open_interest|trend,10
compression|context|path_structure,10
open_interest_location|path_structure,10
compression|context|liquidity|open_interest|perp_tradeability,9
context|open_interest_location|perp_tradeability,9
context|volatility_term_structure,9
context|perp_tradeability|residual,9
open_interest|perp_tradeability|residual,9
context|funding,8
funding|open_interest|perp_tradeability,8
context|open_interest|residual|trend,8
context|liquidity|open_interest|trend,8
open_interest|path_structure|volatility_term_structure,8
context|open_interest_location|path_structure|perp_tradeability,8
asset_state|context|path_structure,8
compression|context|open_interest|residual,8
asset_state|context|open_interest|path_structure,8
path_structure|perp_tradeability,8
asset_state|compression|context,8
asset_state|compression|open_interest,8
context|open_interest_location|path_structure,8
context|open_interest|open_interest_location|path_structure|perp_tradeability,7
context|perp_tradeability|volatility_term_structure,7
open_interest|trend,7
liquidity|open_interest|open_interest_location,7
context|path_structure|residual,7
context|liquidity|perp_tradeability,7
context|volatility,7
context|open_interest|open_interest_location|trend,7
compression|open_interest|perp_tradeability|trend,7
open_interest|path_structure|residual,7
context|residual|trend,7
compression|context|liquidity|open_interest,7
asset_state|open_interest|path_structure,7
volatility_term_structure,7
asset_relative_funding|context|open_interest,7
compression|open_interest|residual,7
asset_state|compression|context|open_interest,7
context|crowding|open_interest,7
compression|context|trend,6
asset_state|open_interest|open_interest_location|perp_tradeability|trend,6
context|funding|open_interest|open_interest_location|perp_tradeability,6
context|open_interest|path_structure|residual,6
context|open_interest|open_interest_location|perp_tradeability|residual,6
asset_relative_funding|context,6
compression|context|open_interest|perp_tradeability|trend,6
context|open_interest|open_interest_location|residual,6
liquidity|open_interest|open_interest_location|perp_tradeability,6
context|funding|open_interest|open_interest_location,6
compression|open_interest|open_interest_location|perp_tradeability,6
asset_state|context|open_interest_location,6
asset_state|perp_tradeability,5
compression|context|open_interest|open_interest_location|perp_tradeability,5
context|crowding|perp_tradeability,5
context|liquidity|open_interest|open_interest_location,5
momentum|open_interest|perp_tradeability,5
compression|context|open_interest|path_structure|perp_tradeability,5
context|trend|volatility_term_structure,5
asset_state|open_interest|open_interest_location|perp_tradeability,5
compression|perp_tradeability,5
compression|open_interest_location|perp_tradeability,5
compression|context|perp_tradeability|trend,5
compression|context|open_interest|path_structure|residual,5
compression|residual,5
funding|open_interest|open_interest_location,5
context|liquidity|open_interest|open_interest_location|perp_tradeability,5
asset_state|liquidity|open_interest,5
context|open_interest|open_interest_location|perp_tradeability|volatility_term_structure,5
compression|open_interest|path_structure|perp_tradeability,5
context|liquidity|open_interest_location|perp_tradeability,5
context|liquidity|open_interest|residual,5
perp_tradeability|residual,4
context|liquidity|open_interest_location,4
context|open_interest|residual|volatility_term_structure,4
context|momentum|open_interest|residual,4
context|open_interest|trend|volatility_term_structure,4
context|open_interest|open_interest_location|volatility,4
context|liquidity|residual,4
compression|context|funding,4
compression|open_interest_location|path_structure,4
context|open_interest|path_structure|perp_tradeability|residual,4
open_interest|open_interest_location|perp_tradeability|trend,4
open_interest|volatility,4
context|path_structure|perp_tradeability|residual,4
context|open_interest_location|residual,4
open_interest|open_interest_location|trend,4
compression|context|liquidity|perp_tradeability,4
open_interest|perp_tradeability|trend,4
context|liquidity|open_interest|volatility,4
volatility,4
context|liquidity|open_interest|volatility_term_structure,4
asset_state|open_interest|volatility_term_structure,4
open_interest|trend|volatility_term_structure,4
asset_state|context|open_interest|residual,4
asset_state|context|open_interest|perp_tradeability|trend,4
asset_state|context|perp_tradeability|trend,4
open_interest_location,4
liquidity|open_interest|residual,4
compression|context|open_interest|volatility_term_structure,4
