fold_id,seed,group,used_feature_count,split_count
0,42,location,44,495
0,42,regime,99,1061
1,42,location,47,557
1,42,regime,99,1198
2,42,location,45,224
2,42,regime,90,501
3,42,location,47,304
3,42,regime,97,802
4,42,location,47,789
4,42,regime,99,1655
