fold_id,seed,group,gain,split
0,42,location,3156.1936,495.0
0,42,regime,6152.7104,1061.0
1,42,location,3241.1663,557.0
1,42,regime,6329.126,1198.0
2,42,location,2393.919,224.0
2,42,regime,4158.204,501.0
3,42,location,2467.407,304.0
3,42,regime,5621.073,802.0
4,42,location,3646.8948,789.0
4,42,regime,6992.319,1655.0
