canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_rolling_7d_high<=0.19468223&loc_vwap_dev_z_24>0.050307155&zscore_price_50<=0.29105452)|(mark_index_basis<=0.000074978721),4,4,location|regime,mark_index,context|liquidity,context|liquidity|mark_index
(*)|(dist_rolling_7d_high<=0.19468223&loc_vwap_dev_z_24>0.050307155&zscore_price_50>0.29105452)|(mark_index_basis<=0.000074978721&ob_depth_usd_l20_z<=-0.094835363),5,5,location|regime,mark_index|orderbook,context|liquidity,context|liquidity|mark_index|orderbook
(*)|(dist_rolling_7d_high<=0.19468223&loc_vwap_dev_z_24>0.050307155&zscore_price_50>0.29105452)|(mark_index_basis<=0.000074978721&ob_depth_usd_l20_z>-0.094835363),5,5,location|regime,mark_index|orderbook,context|liquidity,context|liquidity|mark_index|orderbook
(*)|(dist_rolling_7d_high<=0.19468223&loc_pullback_depth_24<=0.24479638)|(mark_index_basis>0.000074978721),3,3,location|regime,mark_index,context|path_structure,context|mark_index|path_structure
(*)|(dist_rolling_7d_high<=0.19468223&loc_pullback_depth_24>0.24479638)|(mark_index_basis>0.000074978721),3,3,location|regime,mark_index,context|path_structure,context|mark_index|path_structure
(*)|(dist_rolling_7d_high>0.19468223&loc_pivot_ladder_pos_48<=-0.024720529)|(ob_depth_usd_l20_z<=0.065624326),3,3,location|regime,orderbook,context,context|orderbook
(*)|(dist_rolling_7d_high>0.19468223&loc_pivot_ladder_pos_48<=-0.024720529)|(ob_depth_usd_l20_z>0.065624326),3,3,location|regime,orderbook,context,context|orderbook
(*)|(dist_rolling_7d_high>0.19468223&loc_pivot_ladder_pos_48>-0.024720529)|(*),2,2,location,,context,context
(*)|(loc_pivot_ladder_pos_24<=-0.11629245)|(market_dispersion_4h<=0.27672401&symbol_minus_mkt_ret_24h<=0.77748716&up_down_semivol_ratio_tanh<=0.075511754&volume_zscore_48h>-0.26116905),5,5,location|regime,cross_asset|cross_sectional|liquidity|path_structure,context,context|cross_asset|cross_sectional|liquidity|path_structure
(*)|(loc_pivot_ladder_pos_24>-0.11629245)|(market_dispersion_4h<=0.27672401&symbol_minus_mkt_ret_24h<=0.77748716&up_down_semivol_ratio_tanh<=0.075511754&volume_zscore_48h>-0.26116905),5,5,location|regime,cross_asset|cross_sectional|liquidity|path_structure,context,context|cross_asset|cross_sectional|liquidity|path_structure
(*)|(distance_to_ema<=-0.71023029)|(market_dispersion_4h>0.27672401&symbol_minus_mkt_ret_24h<=0.77748716&up_down_semivol_ratio_tanh<=0.075511754),4,4,location|regime,cross_asset|cross_sectional|path_structure,context,context|cross_asset|cross_sectional|path_structure
(*)|(distance_to_ema>-0.71023029)|(market_dispersion_4h>0.27672401&symbol_minus_mkt_ret_24h<=0.77748716&up_down_semivol_ratio_tanh<=0.075511754),4,4,location|regime,cross_asset|cross_sectional|path_structure,context,context|cross_asset|cross_sectional|path_structure
(*)|(dist_range_mid_atr<=-0.0030439841)|(symbol_minus_mkt_ret_24h<=0.77748716&up_down_semivol_ratio_tanh>0.075511754),3,3,location|regime,cross_asset|path_structure,context,context|cross_asset|path_structure
(*)|(dist_range_mid_atr>-0.0030439841)|(direction_entropy_20>0.10984895&return_autocorr_48<=-0.024340784&symbol_minus_mkt_ret_24h<=0.77748716&up_down_semivol_ratio_tanh>0.075511754),5,5,location|regime,cross_asset|momentum|path_structure,context,context|cross_asset|momentum|path_structure
(*)|(dist_range_mid_atr>-0.0030439841)|(direction_entropy_20>0.10984895&return_autocorr_48>-0.024340784&symbol_minus_mkt_ret_24h<=0.77748716&up_down_semivol_ratio_tanh>0.075511754),5,5,location|regime,cross_asset|momentum|path_structure,context,context|cross_asset|momentum|path_structure
(*)|(*)|(range_expansion_ratio<=-0.62772077&symbol_minus_mkt_ret_24h>0.77748716),2,2,regime,cross_asset|volatility_term_structure,,cross_asset|volatility_term_structure
(*)|(*)|(range_expansion_ratio>-0.62772077&symbol_minus_mkt_ret_24h>0.77748716&volume_trend_48>0.97238141),3,3,regime,cross_asset|liquidity|volatility_term_structure,,cross_asset|liquidity|volatility_term_structure
(*)|(dist_prior_day_high<=0.096195005)|(bollinger_band_width<=-0.00000000000000000000000000000000001&mkt_ret_eq_24h<=-0.14315408&volatility_ratio_short_long>0.13308895),4,4,location|regime,compression|cross_asset|volatility,context,compression|context|cross_asset|volatility
(*)|(dist_prior_day_high>0.096195005)|(mkt_ret_eq_24h<=-0.14315408),2,2,location|regime,cross_asset,context,context|cross_asset
(*)|(*)|(market_dispersion_4h<=0.27348283&mkt_ret_eq_24h>-0.14315408&premium_index<=-0.00025401&range_expansion_ratio<=0.092282541),4,4,regime,cross_asset|cross_sectional|mark_index|volatility_term_structure,,cross_asset|cross_sectional|mark_index|volatility_term_structure
(*)|(bars_in_high_vol_state_log_norm<=-0.4370538)|(market_dispersion_4h<=0.27348283&mkt_ret_eq_24h>-0.14315408&premium_index>-0.00025401&range_expansion_ratio<=0.092282541),5,5,location|regime,cross_asset|cross_sectional|mark_index|volatility_term_structure,context,context|cross_asset|cross_sectional|mark_index|volatility_term_structure
(*)|(bars_in_high_vol_state_log_norm>-0.4370538)|(market_dispersion_4h<=0.27348283&mkt_ret_eq_24h>-0.14315408&premium_index>-0.00025401&range_expansion_ratio<=0.092282541),5,5,location|regime,cross_asset|cross_sectional|mark_index|volatility_term_structure,context,context|cross_asset|cross_sectional|mark_index|volatility_term_structure
(*)|(*)|(efficiency_ratio_20<=-0.30165473&mkt_ret_eq_24h>-0.14315408&range_expansion_ratio>0.092282541&return_autocorr_48<=0.47227457),4,4,regime,cross_asset|momentum|path_structure|volatility_term_structure,,cross_asset|momentum|path_structure|volatility_term_structure
(*)|(*)|(efficiency_ratio_20>-0.30165473&mkt_ret_eq_24h>-0.14315408&range_expansion_ratio>0.092282541&return_autocorr_48<=0.47227457),4,4,regime,cross_asset|momentum|path_structure|volatility_term_structure,,cross_asset|momentum|path_structure|volatility_term_structure
(*)|(*)|(mkt_ret_eq_24h>-0.14315408&range_expansion_ratio>0.092282541&return_autocorr_48>0.47227457),3,3,regime,cross_asset|momentum|volatility_term_structure,,cross_asset|momentum|volatility_term_structure
(*)|(dist_weekly_vwap<=-0.063174941)|(compression_score>-0.62002611&mkt_ret_eq_24h<=-0.75299209),3,3,location|regime,cross_asset|volatility_term_structure,context,context|cross_asset|volatility_term_structure
(*)|(dist_prior_day_low<=0.030907612)|(mkt_ret_eq_24h>-0.75299209&range_expansion_ratio<=-0.46208009&volume_entropy_24<=0.42116964),4,4,location|regime,cross_asset|liquidity|volatility_term_structure,context,context|cross_asset|liquidity|volatility_term_structure
(*)|(dist_prior_day_low>0.030907612)|(mkt_ret_eq_24h>-0.75299209&range_expansion_ratio<=-0.46208009&volume_entropy_24<=0.42116964),4,4,location|regime,cross_asset|liquidity|volatility_term_structure,context,context|cross_asset|liquidity|volatility_term_structure
(*)|(*)|(mkt_ret_eq_24h>-0.75299209&range_expansion_ratio<=-0.46208009&volume_entropy_24>0.42116964),3,3,regime,cross_asset|liquidity|volatility_term_structure,,cross_asset|liquidity|volatility_term_structure
(*)|(zscore_price_200<=-0.11614564)|(market_dispersion_4h<=0.26615897&mkt_ret_eq_24h>-0.75299209&range_expansion_ratio>-0.46208009),4,4,location|regime,cross_asset|cross_sectional|volatility_term_structure,context,context|cross_asset|cross_sectional|volatility_term_structure
(*)|(zscore_price_200<=-0.11614564)|(market_dispersion_4h>0.26615897&mkt_ret_eq_24h>-0.75299209&range_expansion_ratio>-0.46208009),4,4,location|regime,cross_asset|cross_sectional|volatility_term_structure,context,context|cross_asset|cross_sectional|volatility_term_structure
(*)|(zscore_price_200>-0.11614564)|(mkt_ret_eq_24h>-0.75299209&range_expansion_ratio>-0.46208009&symbol_minus_mkt_ret_24h<=0.262409),4,4,location|regime,cross_asset|volatility_term_structure,context,context|cross_asset|volatility_term_structure
(*)|(zscore_price_200>-0.11614564)|(mkt_ret_eq_24h>-0.75299209&range_expansion_ratio>-0.46208009&symbol_minus_mkt_ret_24h>0.262409),4,4,location|regime,cross_asset|volatility_term_structure,context,context|cross_asset|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.18227577&dist_weekly_vwap>-0.1031158&loc_range_pos_24<=0.75020999)|(up_down_semivol_ratio_tanh<=0.33223492&xasset_mkt_spread_bps<=15.635621),5,5,location|regime,cross_asset_orderbook|path_structure,context,context|cross_asset_orderbook|path_structure
(*)|(dist_rolling_7d_high<=0.18227577&dist_weekly_vwap>-0.1031158&loc_range_pos_24<=0.75020999)|(rv_24h<=0.31078589&up_down_semivol_ratio_tanh<=0.33223492&xasset_mkt_spread_bps>15.635621),6,6,location|regime,cross_asset_orderbook|path_structure|volatility,context,context|cross_asset_orderbook|path_structure|volatility
(*)|(dist_rolling_7d_high<=0.18227577&dist_weekly_vwap>-0.1031158&loc_range_pos_24<=0.75020999)|(rv_24h>0.31078589&up_down_semivol_ratio_tanh<=0.33223492&xasset_mkt_spread_bps>15.635621),6,6,location|regime,cross_asset_orderbook|path_structure|volatility,context,context|cross_asset_orderbook|path_structure|volatility
(*)|(dist_rolling_7d_high<=0.18227577&dist_weekly_vwap>-0.1031158&loc_range_pos_24>0.75020999)|(up_down_semivol_ratio_tanh<=0.33223492),4,4,location|regime,path_structure,context,context|path_structure
(*)|(dist_rolling_7d_high>0.18227577&dist_weekly_vwap>-0.1031158)|(up_down_semivol_ratio_tanh<=0.33223492),3,3,location|regime,path_structure,context,context|path_structure
(*)|(loc_vwap_dev_z_48<=1.2027835)|(symbol_minus_mkt_ret_24h<=0.77748716&up_down_semivol_ratio_tanh>0.33223492&volatility_ratio_short_long>-0.24874425),4,4,location|regime,cross_asset|path_structure|volatility,liquidity,cross_asset|liquidity|path_structure|volatility
(*)|(loc_vwap_dev_z_48<=1.2027835)|(symbol_minus_mkt_ret_24h>0.77748716&up_down_semivol_ratio_tanh>0.33223492),3,3,location|regime,cross_asset|path_structure,liquidity,cross_asset|liquidity|path_structure
(*)|(loc_vwap_dev_z_48>1.2027835)|(up_down_semivol_ratio_tanh>0.33223492),2,2,location|regime,path_structure,liquidity,liquidity|path_structure
(*)|(*)|(ob_depth_usd_l20_z>-0.094835363&up_down_semivol_ratio_tanh<=-0.9237566),2,2,regime,orderbook|path_structure,,orderbook|path_structure
(*)|(dist_ema50_atr<=-0.0055171927)|(up_down_semivol_ratio_tanh<=0.025224511&up_down_semivol_ratio_tanh>-0.9237566),3,3,location|regime,path_structure,context,context|path_structure
(*)|(dist_ema50_atr>-0.0055171927&loc_session_pos_24>0.56607872)|(up_down_semivol_ratio_tanh<=0.025224511&up_down_semivol_ratio_tanh>-0.9237566),4,4,location|regime,path_structure,context,context|path_structure
(*)|(loc_vwap_dev_z_48>0.33404484)|(compression_ratio<=-0.54004395&up_down_semivol_ratio_tanh>0.025224511),3,3,location|regime,path_structure|volatility_term_structure,liquidity,liquidity|path_structure|volatility_term_structure
(*)|(*)|(compression_ratio<=0.55000222&compression_ratio>-0.54004395&range_expansion_ratio<=-0.52782077&up_down_semivol_ratio_tanh>0.025224511),4,4,regime,path_structure|volatility_term_structure,,path_structure|volatility_term_structure
(*)|(*)|(compression_ratio<=0.55000222&compression_ratio>-0.54004395&range_expansion_ratio<=0.19128461&range_expansion_ratio>-0.52782077&up_down_semivol_ratio_tanh>0.025224511),5,5,regime,path_structure|volatility_term_structure,,path_structure|volatility_term_structure
(*)|(zscore_price_50<=0.20019317)|(compression_ratio>0.55000222&up_down_semivol_ratio_tanh>0.025224511),3,3,location|regime,path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
