rejection_reason,count
b_mask_ic_uplift_too_low,771
b_sign_consistency_too_low,1095
b_min_fold_support_too_low,54
b_support_too_low,6
b_positive_ic_fraction_too_low,48
b_support_instability_too_high,1
b_oos_ic_too_low,8
