within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.20390129009481764,1.0,0.010956649045439975,0.006218813017680456,0.05868897535031735,4,0.9372296826681654,within_leaf_future_edge,(*)|(*)|(mark_vs_perp_bps>0.13184085&ob_imbalance_mkt_resid<=-0.0014901161&oi_chg_8h_mkt_resid<=-0.045503128)
0.19171140354031735,1.0,0.011587632953587609,0.0066159819077218985,0.04898911634536546,4,0.9229442306526267,within_leaf_future_edge,(*)|(*)|(asset_ret_vs_universe_4h<=-0.095811039&mark_vs_perp_bps>-0.56696337&ob_pressure_mkt_resid<=-0.0020861626)
0.16090442703879038,1.0,0.008481227228809111,0.004926547493290765,0.07111206440759937,4,0.9536847399117298,within_leaf_future_edge,(*)|(loc_session_pos_24>0.046939716)|(mark_vs_perp_bps>-0.28944162&ob_pressure_mkt_resid<=-2.5011921)
0.1849773562265298,1.0,0.011718900502516238,0.006515354372842459,0.07187538851845868,4,0.9572176765780565,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.009236699&ob_pressure_mkt_resid<=-2.5011921)
0.17855354655394534,1.0,0.011090382060003194,0.00627273897360998,0.06644136435150629,4,0.9489010179969507,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.0098459562&mark_vs_perp_bps>1.6115773&ob_imbalance_mkt_resid<=-2.5008941)
0.18417616802990042,1.0,0.011324155192574476,0.006411440661864448,0.07490467504648494,4,0.9616949888694256,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.010324929&ob_pressure_mkt_resid<=-0.0020861626)
0.12226707029443598,0.75,0.00625645294919119,0.0038245597331197983,-0.011943287716544085,4,0.8029981140751399,within_leaf_future_edge,(*)|(oiw_z_delta_entry_dist_14d_atr<=-0.71480781)|(mark_perp_dislocation>-0.00011902447&range_24h_pct<=0.054133713)
0.17890055854857645,1.0,0.011075591034972736,0.006029092008032654,0.04130895367374951,4,0.91099492930333,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.36501044&mark_perp_dislocation>0.0042867106)
0.0552367042076011,0.75,0.003975084462026509,0.0023190050951022124,-0.04182710485250789,4,0.7525744344340146,within_leaf_future_edge,(*)|(*)|(asset_atr_level_pct<=0.41521889&compression_score<=-0.49477294&mark_perp_dislocation>-0.004306138&price_trend_15d_vol_norm>-0.052217491)
0.18407539081118351,1.0,0.01108838958974402,0.00606301799843287,0.016880175963495947,4,0.874383834765509,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.008671822&oi_chg_8h_robust_z_peer_resid<=-0.00000000000000000000000000000000001&price_rv_15d_robust_z>-1.440907)
