,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
is_trending,0.025187701,0.009341498,0.06791419,30.5,5.619905,165.52771,231.8394,97.16978,553.1505,0.035802096,0.01471808,0.0870895,0.28474507,0.11646027,0.69620097,9.0,0.028165033,0.47100624,1.0,0.92746115,1.0,0.0,4.5,4.6666665,0.93186533,1.0
range_expansion_ratio_G_VOL_1,0.024507692,0.00521483,0.115176715,38.333332,5.1532083,285.15137,275.53906,61.031353,1243.9799,0.037572257,0.008657301,0.16306174,0.3324095,0.046607018,2.3708036,1.0,1.0,1.0,0.9718658,0.96632123,1.0,0.0,3.0,2.1666667,0.92610645,2.0
vp_dist_hvn_above_atr,0.02146465,0.0045087445,0.10218614,32.833332,5.610011,192.16144,247.71219,42.297016,1450.7249,0.03355386,0.006244385,0.18029982,0.3045705,0.056091953,1.6537701,2.0,0.15713674,0.510333,0.8459651,0.97409326,1.0,0.0,4.0,1.6666666,0.8588041,3.0
climax_range_12,0.018816812,0.004346658,0.081458546,34.833332,6.841459,177.35416,195.47546,42.1253,907.0715,0.028256249,0.006127722,0.13029566,0.24306206,0.06448086,0.9162279,4.0,0.542379,0.71156156,0.73641527,0.93782383,1.0,0.0,6.0,4.0,0.7894844,4.0
range_norm_12,0.01839104,0.0047382535,0.07138291,34.166668,8.234413,141.76616,202.10185,46.13211,885.3954,0.028817423,0.006619526,0.12545368,0.25716347,0.08836121,0.7484398,5.0,0.0,0.47100624,0.71879965,0.9533679,1.0,0.0,4.0,3.0,0.78368175,5.0
range_norm_24,0.018054653,0.0030590429,0.106559634,34.333332,4.1499667,284.04514,185.77779,35.819588,963.5339,0.02710002,0.004990075,0.14717437,0.23110151,0.060436565,0.883702,3.0,0.0,0.47100624,0.70488226,0.9585492,1.0,0.0,6.0,2.6666667,0.77732253,6.0
bars_in_high_vol_state_log_norm,0.017036662,0.008972656,0.032348044,35.333332,11.953614,104.44075,189.29791,103.94565,344.735,0.02551788,0.015343089,0.0424401,0.22770318,0.110092506,0.47095615,25.5,0.0,0.25468358,0.6627646,0.8523316,1.0,0.0,7.5,9.5,0.72760344,7.0
G_EXH_GIVEBACK,0.016307207,0.005389419,0.049342055,24.0,6.2182527,92.63052,155.49646,56.26595,429.72968,0.022558331,0.008043819,0.063263275,0.19607519,0.08846372,0.43459034,11.0,0.4224341,0.37457085,0.63258463,0.865285,1.0,0.0,9.5,8.666667,0.7142428,8.0
mr_tape,0.014074981,0.00662852,0.029886775,36.333332,9.46338,139.4968,168.74239,64.207756,443.46655,0.022025783,0.009547265,0.050814036,0.21551855,0.105697684,0.43944433,18.5,0.015101834,0.47946706,0.5402301,0.8782383,1.0,0.0,12.5,7.8333335,0.6666862,9.0
climax_range_24,0.013033807,0.0025956875,0.06544706,24.833334,4.219663,146.1478,152.27357,28.757578,806.30023,0.02042972,0.0039009638,0.10699239,0.18428746,0.027527532,1.2337419,7.0,0.691256,0.8582833,0.49715328,0.9637306,1.0,0.0,10.5,2.3333333,0.66436696,10.0
