model,side,kind,score,passed,H,is_winner,checks.pr_auc_ge_threshold.pass,checks.pr_auc_ge_threshold.emoji,checks.pr_auc_ge_random.pass,checks.pr_auc_ge_random.emoji,checks.brier_and_logloss_improve_ge_2pct.pass,checks.brier_and_logloss_improve_ge_2pct.emoji,checks.liftk_and_preck_lift.pass,checks.liftk_and_preck_lift.emoji,checks.bootstrap_prec20_cv_le_0_30.pass,checks.bootstrap_prec20_cv_le_0_30.emoji,checks.delta_logloss_le_minus_0_5pct.pass,checks.delta_logloss_le_minus_0_5pct.emoji,checks.logloss_improves_in_ge_70pct_folds.pass,checks.logloss_improves_in_ge_70pct_folds.emoji,checks.worst_fold_delta_logloss_ge_0_5pct_improve.pass,checks.worst_fold_delta_logloss_ge_0_5pct_improve.emoji,metrics.auc,metrics.ic,metrics.ic_ret,metrics.logloss,metrics.pr_auc,metrics.pr_auc_threshold,metrics.brier_improvement,metrics.logloss_improvement,metrics.lift_at_20pct,metrics.precision_lift_abs,metrics.bootstrap_prec20_cv,metrics.fold_logloss_improvement_ratio,metrics.worst_fold_logloss_improvement,metrics.prec_at_10pct,metrics.lift_at_10pct,metrics.prec_at_30pct,metrics.lift_at_30pct,metrics.timeout_rate_at_20pct,metrics.timeout_rate_at_bot50pct
long_tf_H1:extratrees,long,tf,0.0,False,1,True,False,⚠️,True,✅,False,⚠️,False,⚠️,True,✅,False,⚠️,False,⚠️,False,⚠️,0.5348441546798324,0.05870967126468051,0.07237053976188255,0.6368327158626103,0.3032471285062829,0.36194962507210154,-0.08598715084973517,-0.058288882780314466,0.9807109170156978,-0.005585341083322259,0.022171395635119297,0.0,-0.06533592155843373,0.2967948717948718,1.0249868049170838,0.2777777777777778,0.9593109045300281,0.6298076923076923,0.6081271631842071
long_tf_H2:extratrees,long,tf,0.0,False,2,True,False,⚠️,True,✅,False,⚠️,False,⚠️,True,✅,False,⚠️,False,⚠️,False,⚠️,0.5384336856952484,0.06477434368109734,0.07401034228865241,0.6361696548919131,0.30750068293842875,0.36194962507210154,-0.08453649538768916,-0.05718700777230109,1.015024730139272,0.004350556352575197,0.02093669527210603,0.0,-0.048844160462237746,0.31346153846153846,1.0825454591888855,0.28034188034188035,0.9681660821103052,0.6224358974358974,0.6101781822843225
long_tf_H4:extratrees,long,tf,0.0,False,4,True,False,⚠️,True,✅,False,⚠️,False,⚠️,True,✅,False,⚠️,False,⚠️,False,⚠️,0.5419621568854138,0.07066712611911805,0.07969938165811043,0.6339474966578496,0.31020379006534904,0.36194962507210154,-0.08117362244348472,-0.0534942242573983,1.018345421731876,0.005312094814113655,0.02215054868001223,0.0,-0.032591830320754335,0.3153846153846154,1.0891868423740934,0.2811965811965812,0.9711178079703976,0.6240384615384615,0.6109473144468658
short_tf_H1:extratrees,short,tf,0.0,False,1,True,False,⚠️,True,✅,False,⚠️,False,⚠️,True,✅,False,⚠️,False,⚠️,False,⚠️,0.5688801906597546,0.11932623024137984,0.04722291429720603,0.6265054223794699,0.33673025549723845,0.37224441874320957,-0.04713616315871685,-0.028770083437950296,0.9404307600616635,-0.01773945367665669,0.016870567571809745,0.0,-0.0172448233242954,0.2884682790045566,0.9686789931548799,0.31989718425049657,1.0742175306837023,0.5855240098142306,0.5592317398009253
short_tf_H2:extratrees,short,tf,0.0,False,2,True,False,⚠️,True,✅,False,⚠️,False,⚠️,True,✅,False,⚠️,False,⚠️,False,⚠️,0.5554369705437591,0.10056580582178144,0.026736665043930793,0.630948467725993,0.3297620238991873,0.37224441874320957,-0.053851069952117116,-0.03606590557864454,0.9286606629394899,-0.021244536046092388,0.01759478699692225,0.0,-0.009963731821225955,0.29232386961093587,0.9816260999892708,0.3202476924874401,1.0753945403959198,0.5853487556957588,0.5595121267348941
short_tf_H4:extratrees,short,tf,0.0,False,4,True,False,⚠️,True,✅,False,⚠️,False,⚠️,True,✅,False,⚠️,False,⚠️,False,⚠️,0.5563370921161492,0.10231403904419671,0.02765147138539275,0.6310318998980966,0.3319919879464255,0.37224441874320957,-0.05346305684454899,-0.03620290762138894,0.941019264917772,-0.017564199558184945,0.017722460191834308,0.0,-0.012285839121876517,0.2916228531370487,0.9792720805648361,0.3207150368033649,1.0769638866788762,0.5841219768664564,0.5598626104023553
